,Sentence,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
28,"“I’m stiff,” she complained, “I’ve been lying on that sofa for as long as I can remember.” “Don’t look at me,” Daisy retorted, “I’ve been trying to get you to New York all afternoon.” “No, thanks,” said Miss Baker to the four cocktails just in from the pantry.",-0.7717,0.0,0.149,0.851,0,1,0
29,“You are!” He took down his drink as if it were a drop in the bottom of a glass.,-0.3382,0.0,0.13,0.87,0,1,0
30,"“You live in West Egg,” she remarked contemptuously.",-0.5267,0.0,0.327,0.673,0,1,0
31,“I know somebody there.” “I don’t know a single—” “You must know Gatsby.” “Gatsby?” demanded Daisy.,-0.2263,0.0,0.119,0.881,0,1,0
32,"“What Gatsby?” Before I could reply that he was my neighbour dinner was announced; wedging his tense arm imperatively under mine, Tom Buchanan compelled me from the room as though he were moving a checker to another square.",-0.296,0.032,0.064,0.904,0,1,0
33,"“Why candles?” objected Daisy, frowning.",-0.34,0.0,0.375,0.625,0,1,0
34,“Do you always watch for the longest day of the year and then miss it?,-0.1531,0.0,0.103,0.897,0,1,0
35,"I always watch for the longest day in the year and then miss it.” “We ought to plan something,” yawned Miss Baker, sitting down at the table as if she were getting into bed.",-0.296,0.0,0.094,0.906,0,1,0
36,“What’ll we plan?” She turned to me helplessly: “What do people plan?” Before I could answer her eyes fastened with an awed expression on her little finger.,-0.4137,0.0,0.099,0.901,0,1,0
37,“Look!” she complained; “I hurt it.” We all looked—the knuckle was black and blue.,-0.75,0.0,0.348,0.652,0,1,0
38,"It was sharply different from the West, where an evening was hurried from phase to phase towards its close, in a continually disappointed anticipation or else in sheer nervous dread of the moment itself.",-0.7783,0.036,0.212,0.751,0,1,0
39,"“Civilization’s going to pieces,” broke out Tom violently.",-0.765,0.0,0.524,0.476,0,1,0
40,“I’ve gotten to be a terrible pessimist about things.,-0.6808,0.0,0.483,0.517,0,1,0
41,"It’s all scientific stuff; it’s been proved.” “Tom’s getting very profound,” said Daisy, with an expression of unthoughtful sadness.",-0.4404,0.0,0.139,0.861,0,1,0
42,"What was that word we—” “Well, these books are all scientific,” insisted Tom, glancing at her impatiently.",-0.4019,0.0,0.144,0.856,0,1,0
43,"“You ought to live in California—” began Miss Baker, but Tom interrupted her by shifting heavily in his chair.",-0.4767,0.0,0.194,0.806,0,1,0
44,"I am, and you are, and you are, and—” After an infinitesimal hesitation he included Daisy with a slight nod, and she winked at me again.",-0.2732,0.0,0.084,0.916,0,1,0
45,"Do you see?” There was something pathetic in his concentration, as if his complacency, more acute than of old, was not enough to him any more.",-0.5719,0.0,0.129,0.871,0,1,0
46,"When, almost immediately, the telephone rang inside and the butler left the porch Daisy seized upon the momentary interruption and leaned towards me.",-0.3612,0.0,0.102,0.898,0,1,0
47,"He had to polish it from morning till night, until finally it began to affect his nose—” “Things went from bad to worse,” suggested Miss Baker.",-0.6249,0.0,0.175,0.825,0,1,0
48,Doesn’t he?” She turned to Miss Baker for confirmation: “An absolute rose?” This was untrue.,-0.2406,0.0,0.123,0.877,0,1,0
49,I am not even faintly like a rose.,-0.2755,0.0,0.297,0.703,0,1,0
50,Miss Baker and I exchanged a short glance consciously devoid of meaning.,-0.1531,0.0,0.151,0.849,0,1,0
51,I was about to speak when she sat up alertly and said “Sh!” in a warning voice.,-0.4003,0.0,0.161,0.839,0,1,0
52,"A subdued impassioned murmur was audible in the room beyond, and Miss Baker leaned forward unashamed, trying to hear.",-0.1531,0.0,0.086,0.914,0,1,0
53,“I thought everybody knew.” “I don’t.” “Why—” she said hesitantly.,-0.296,0.0,0.196,0.804,0,1,0
54,Miss Baker nodded.,-0.1531,0.0,0.444,0.556,0,1,0
55,“It couldn’t be helped!” cried Daisy with tense gaiety.,-0.6476,0.0,0.431,0.569,0,1,0
56,"He’s singing away—” Her voice sang: “It’s romantic, isn’t it, Tom?” “Very romantic,” he said, and then miserably to me: “If it’s light enough after dinner, I want to take you down to the stables.” The telephone rang inside, startlingly, and as Daisy shook her head decisively at Tom the subject of the stables, in fact all subjects, vanished into air.",-0.2023,0.062,0.09,0.849,0,1,0
57,"Among the broken fragments of the last five minutes at table I remember the candles being lit again, pointlessly, and I was conscious of wanting to look squarely at everyone, and yet to avoid all eyes.",-0.6486,0.0,0.142,0.858,0,1,0
58,In its deep gloom we sat down side by side on a wicker settee.,-0.5574,0.0,0.231,0.769,0,1,0
59,You didn’t come to my wedding.” “I wasn’t back from the war.” “That’s true.” She hesitated.,-0.3182,0.0,0.133,0.867,0,1,0
60,"“Well, I’ve had a very bad time, Nick, and I’m pretty cynical about everything.” Evidently she had reason to be.",-0.4927,0.125,0.25,0.625,0,1,0
61,"I woke up out of the ether with an utterly abandoned feeling, and asked the nurse right away if it was a boy or a girl.",-0.3642,0.068,0.126,0.805,0,1,0
62,"She told me it was a girl, and so I turned my head away and wept.",-0.4588,0.0,0.188,0.812,0,1,0
63,"“Sophisticated—God, I’m sophisticated!” The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insincerity of what she had said.",-0.6696,0.0,0.193,0.807,0,1,0
64,"It made me uneasy, as though the whole evening had been a trick of some sort to exact a contributory emotion from me.",-0.4215,0.0,0.167,0.833,0,1,0
65,"“To be continued,” she said, tossing the magazine on the table, “in our very next issue.” Her body asserted itself with a restless movement of her knee, and she stood up.",-0.2732,0.0,0.068,0.932,0,1,0
66,"I had heard some story of her too, a critical, unpleasant story, but what it was I had forgotten long ago.",-0.6187,0.0,0.287,0.713,0,1,0
67,"You know—lock you up accidentally in linen closets and push you out to sea in a boat, and all that sort of thing—” “Good night,” called Miss Baker from the stairs.",-0.4588,0.0,0.125,0.875,0,1,0
68,The fact that gossip had published the banns was one of the reasons I had come East.,-0.1779,0.0,0.102,0.898,0,1,0
69,"Their interest rather touched me and made them less remotely rich—nevertheless, I was confused and a little disgusted as I drove away.",-0.3415,0.123,0.222,0.656,0,1,0
70,"It seemed to me that the thing for Daisy to do was to rush out of the house, child in arms—but apparently there were no such intentions in her head.",-0.296,0.0,0.071,0.929,0,1,0
71,"As for Tom, the fact that he “had some woman in New York” was really less surprising than that he had been depressed by a book.",-0.2992,0.073,0.116,0.81,0,1,0
72,Something was making him nibble at the edge of stale ideas as if his sturdy physical egotism no longer nourished his peremptory heart.,-0.5574,0.0,0.18,0.82,0,1,0
73,"Already it was deep summer on roadhouse roofs and in front of wayside garages, where new red petrol-pumps sat out in pools of light, and when I reached my estate at West Egg I ran the car under its shed and sat for a while on an abandoned grass roller in the yard.",-0.3818,0.027,0.057,0.916,0,1,0
74,"Miss Baker had mentioned him at dinner, and that would do for an introduction.",-0.1531,0.0,0.11,0.89,0,1,0
75,"But I didn’t call to him, for he gave a sudden intimation that he was content to be alone—he stretched out his arms toward the dark water in a curious way, and, far as I was from him, I could have sworn he was trembling.",-0.0516,0.054,0.058,0.888,0,1,0
76,"When I looked once more for Gatsby he had vanished, and I was alone again in the unquiet darkness.",-0.4588,0.0,0.211,0.789,0,1,0
77,"They look out of no face, but, instead, from a pair of enormous yellow spectacles which pass over a nonexistent nose.",-0.1531,0.0,0.082,0.918,0,1,0
78,"Evidently some wild wag of an oculist set them there to fatten his practice in the borough of Queens, and then sank down himself into eternal blindness, or forgot them and moved away.",-0.0516,0.0,0.036,0.964,0,1,0
79,"But his eyes, dimmed a little by many paintless days, under sun and rain, brood on over the solemn dumping ground.",-0.3818,0.0,0.167,0.833,0,1,0
80,"The valley of ashes is bounded on one side by a small foul river, and, when the drawbridge is up to let barges through, the passengers on waiting trains can stare at the dismal scene for as long as half an hour.",-0.6124,0.0,0.091,0.909,0,1,0
81,"I went up to New York with Tom on the train one afternoon, and when we stopped by the ash-heaps he jumped to his feet and, taking hold of my elbow, literally forced me from the car.",-0.5994,0.0,0.126,0.874,0,1,0
82,The supercilious assumption was that on Sunday afternoon I had nothing better to do.,-0.3412,0.0,0.167,0.833,0,1,0
83,"I followed him over a low whitewashed railroad fence, and we walked back a hundred yards along the road under Doctor Eckleburg’s persistent stare.",-0.2732,0.0,0.095,0.905,0,1,0
84,"The only building in sight was a small block of yellow brick sitting on the edge of the waste land, a sort of compact Main Street ministering to it, and contiguous to absolutely nothing.",-0.6908,0.0,0.16,0.84,0,1,0
85,The interior was unprosperous and bare; the only car visible was the dust-covered wreck of a Ford which crouched in a dim corner.,-0.4404,0.0,0.127,0.873,0,1,0
86,"It had occurred to me that this shadow of a garage must be a blind, and that sumptuous and romantic apartments were concealed overhead, when the proprietor himself appeared in the door of an office, wiping his hands on a piece of waste.",-0.4215,0.06,0.122,0.819,0,1,0
87,“I just meant—” His voice faded off and Tom glanced impatiently around the garage.,-0.4019,0.0,0.172,0.828,0,1,0
88,"Then I heard footsteps on a stairs, and in a moment the thickish figure of a woman blocked out the light from the office door.",-0.2732,0.0,0.095,0.905,0,1,0
89,“Get on the next train.” “All right.” “I’ll meet you by the newsstand on the lower level.” She nodded and moved away from him just as George Wilson emerged with two chairs from his office door.,-0.296,0.0,0.059,0.941,0,1,0
90,"He’s so dumb he doesn’t know he’s alive.” So Tom Buchanan and his girl and I went up together to New York—or not quite together, for Mrs. Wilson sat discreetly in another car.",-0.5563,0.0,0.104,0.896,0,1,0
91,"“That’s no police dog,” said Tom.",-0.296,0.0,0.306,0.694,0,1,0
92,"“No, it’s not exactly a police dog,” said the man with disappointment in his voice.",-0.5106,0.0,0.202,0.798,0,1,0
93,"“Hold on,” I said, “I have to leave you here.” “No you don’t,” interposed Tom quickly.",-0.0516,0.0,0.079,0.921,0,1,0
94,“Myrtle’ll be hurt if you don’t come up to the apartment.,-0.5267,0.0,0.254,0.746,0,1,0
95,At 158th Street the cab stopped at one slice in a long white cake of apartment-houses.,-0.2263,0.0,0.119,0.881,0,1,0
96,"Several old copies of Town Tattle lay on the table together with a copy of Simon Called Peter, and some of the small scandal magazines of Broadway.",-0.4404,0.0,0.104,0.896,0,1,0
97,"A reluctant elevator boy went for a box full of straw and some milk, to which he added on his own initiative a tin of large, hard dog biscuits—one of which decomposed apathetically in the saucer of milk all afternoon.",-0.4215,0.0,0.124,0.876,0,1,0
98,"Sitting on Tom’s lap Mrs. Wilson called up several people on the telephone; then there were no cigarettes, and I went out to buy some at the drugstore on the corner.",-0.296,0.0,0.071,0.929,0,1,0
99,"When I came back they had both disappeared, so I sat down discreetly in the living-room and read a chapter of Simon Called Peter—either it was terrible stuff or the whisky distorted things, because it didn’t make any sense to me.",-0.7717,0.0,0.18,0.82,0,1,0
100,"His wife was shrill, languid, handsome, and horrible.",-0.0772,0.252,0.276,0.472,0,1,0
101,"Her laughter, her gestures, her assertions became more violently affected moment by moment, and as she expanded the room grew smaller around her, until she seemed to be revolving on a noisy, creaking pivot through the smoky air.",-0.5379,0.073,0.175,0.752,0,1,0
102,"“My dear,” she told her sister in a high, mincing shout, “most of these fellas will cheat you every time.",-0.4588,0.0,0.143,0.857,0,1,0
103,"She goes around looking at people’s feet in their own homes.” “I like your dress,” remarked Mrs. McKee, “I think it’s adorable.” Mrs. Wilson rejected the compliment by raising her eyebrow in disdain.",-0.2023,0.137,0.156,0.707,0,1,0
104,"“It’s just a crazy old thing,” she said.",-0.34,0.0,0.286,0.714,0,1,0
105,"And I’d try to get hold of all the back hair.” “I wouldn’t think of changing the light,” cried Mrs. McKee.",-0.3818,0.0,0.115,0.885,0,1,0
106,"“Get some more ice and mineral water, Myrtle, before everybody goes to sleep.” “I told that boy about the ice.” Myrtle raised her eyebrows in despair at the shiftlessness of the lower orders.",-0.5423,0.0,0.127,0.873,0,1,0
107,“Two of them we have framed downstairs.” “Two what?” demanded Tom.,-0.2263,0.0,0.16,0.84,0,1,0
108,“I’m scared of him.,-0.4404,0.0,0.492,0.508,0,1,0
109,"I’d hate to have him get anything on me.” This absorbing information about my neighbour was interrupted by Mrs. McKee’s pointing suddenly at Catherine: “Chester, I think you could do something with her,” she broke out, but Mr. McKee only nodded in a bored way, and turned his attention to Tom.",-0.7579,0.0,0.159,0.841,0,1,0
110,"“She’ll give you a letter of introduction, won’t you, Myrtle?” “Do what?” she asked, startled.",-0.264,0.0,0.137,0.863,0,1,0
111,"It came from Myrtle, who had overheard the question, and it was violent and obscene.",-0.8271,0.0,0.372,0.628,0,1,0
112,She lowered her voice again.,-0.128,0.0,0.273,0.727,0,1,0
113,"She’s a Catholic, and they don’t believe in divorce.” Daisy was not a Catholic, and I was a little shocked at the elaborateness of the lie.",-0.2516,0.0,0.087,0.913,0,1,0
114,"We had an awful time getting back, I can tell you.",-0.4588,0.0,0.25,0.75,0,1,0
115,"God, how I hated that town!” The late afternoon sky bloomed in the window for a moment like the blue honey of the Mediterranean—then the shrill voice of Mrs. McKee called me back into the room.",-0.2244,0.122,0.105,0.773,0,1,0
116,"“I almost made a mistake, too,” she declared vigorously.",-0.1585,0.156,0.221,0.624,0,1,0
117,"“And that’s the difference between your case and mine.” “Why did you, Myrtle?” demanded Catherine.",-0.2263,0.0,0.119,0.881,0,1,0
118,“Nobody forced you to.” Myrtle considered.,-0.4588,0.0,0.375,0.625,0,1,0
119,“Crazy about him!” cried Myrtle incredulously.,-0.4389,0.0,0.366,0.634,0,1,0
120,“Who said I was crazy about him?,-0.34,0.0,0.324,0.676,0,1,0
121,"I never was any more crazy about him than I was about that man there.” She pointed suddenly at me, and everyone looked at me accusingly.",-0.4005,0.0,0.105,0.895,0,1,0
122,“The only crazy I was was when I married him.,-0.34,0.0,0.255,0.745,0,1,0
123,I knew right away I made a mistake.,-0.34,0.0,0.375,0.625,0,1,0
124,"‘This is the first I ever heard about it.’ But I gave it to him and then I lay down and cried to beat the band all afternoon.” “She really ought to get away from him,” resumed Catherine to me.",-0.3818,0.0,0.067,0.933,0,1,0
125,"I wanted to get out and walk eastward toward the park through the soft twilight, but each time I tried to go I became entangled in some wild, strident argument which pulled me back, as if with ropes, into my chair.",-0.5023,0.0,0.081,0.919,0,1,0
126,"I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.",-0.2924,0.0,0.144,0.856,0,1,0
127,"He had on a dress suit and patent leather shoes, and I couldn’t keep my eyes off him, but every time he looked at me I had to pretend to be looking at the advertisement over his head.",-0.1531,0.0,0.045,0.955,0,1,0
128,"When we came into the station he was next to me, and his white shirtfront pressed against my arm, and so I told him I’d have to call a policeman, but he knew I lied.",-0.5267,0.0,0.099,0.901,0,1,0
129,"“My dear,” she cried, “I’m going to give you this dress as soon as I’m through with it.",-0.3818,0.0,0.133,0.867,0,1,0
130,I got to write down a list so I won’t forget all the things I got to do.” It was nine o’clock—almost immediately afterward I looked at my watch and found it was ten.,-0.2911,0.0,0.072,0.928,0,1,0
131,Taking out my handkerchief I wiped from his cheek the spot of dried lather that had worried me all the afternoon.,-0.296,0.0,0.104,0.896,0,1,0
132,"The little dog was sitting on the table looking with blind eyes through the smoke, and from time to time groaning faintly.",-0.4019,0.0,0.114,0.886,0,1,0
133,"People disappeared, reappeared, made plans to go somewhere, and then lost each other, searched for each other, found each other a few feet away.",-0.4939,0.0,0.167,0.833,0,1,0
134,"Then there were bloody towels upon the bathroom floor, and women’s voices scolding, and high over the confusion a long broken wail of pain.",-0.8885,0.0,0.377,0.623,0,1,0
135,Mr. McKee awoke from his doze and started in a daze toward the door.,-0.1779,0.0,0.124,0.876,0,1,0
136,"When he had gone halfway he turned around and stared at the scene—his wife and Catherine scolding and consoling as they stumbled here and there among the crowded furniture with articles of aid, and the despairing figure on the couch, bleeding fluently, and trying to spread a copy of Town Tattle over the tapestry scenes of Versailles.",-0.5106,0.0,0.057,0.943,0,1,0
137,"“Beauty and the Beast … Loneliness … Old Grocery Horse … Brook’n Bridge …” Then I was lying half asleep in the cold lower level of the Pennsylvania Station, staring at the morning Tribune, and waiting for the four o’clock train.",-0.8126,0.0,0.198,0.802,0,1,0
138,"In the main hall a bar with a real brass rail was set up, and stocked with gins and liquors and with cordials so long forgotten that most of his female guests were too young to know one from another.",-0.2911,0.0,0.056,0.944,0,1,0
139,"By seven o’clock the orchestra has arrived, no thin five-piece affair, but a whole pitful of oboes and trombones and saxophones and viols and cornets and piccolos, and low and high drums.",-0.5023,0.0,0.128,0.872,0,1,0
140,"Suddenly one of these gypsies, in trembling opal, seizes a cocktail out of the air, dumps it down for courage and, moving her hands like Frisco, dances out alone on the canvas platform.",-0.128,0.143,0.18,0.677,0,1,0
141,"A momentary hush; the orchestra leader varies his rhythm obligingly for her, and there is a burst of chatter as the erroneous news goes around that she is Gilda Gray’s understudy from the Follies.",-0.4215,0.0,0.083,0.917,0,1,0
142,"They got into automobiles which bore them out to Long Island, and somehow they ended up at Gatsby’s door.",-0.25,0.0,0.1,0.9,0,1,0
143,"Dressed up in white flannels I went over to his lawn a little after seven, and wandered around rather ill at ease among swirls and eddies of people I didn’t know—though here and there was a face I had noticed on the commuting train.",-0.0772,0.059,0.066,0.875,0,1,0
144,"As soon as I arrived I made an attempt to find my host, but the two or three people of whom I asked his whereabouts stared at me in such an amazed way, and denied so vehemently any knowledge of his movements, that I slunk off in the direction of the cocktail table—the only place in the garden where a single man could linger without looking purposeless and alone.",-0.2617,0.06,0.089,0.851,0,1,0
145,"I was on my way to get roaring drunk from sheer embarrassment when Jordan Baker came out of the house and stood at the head of the marble steps, leaning a little backward and looking with contemptuous interest down into the garden.",-0.6705,0.063,0.179,0.758,0,1,0
146,“Hello!” they cried together.,-0.4389,0.0,0.491,0.509,0,1,0
147,She had lost in the finals the week before.,-0.3182,0.0,0.223,0.777,0,1,0
148,"“You don’t know who we are,” said one of the girls in yellow, “but we met you here about a month ago.” “You’ve dyed your hair since then,” remarked Jordan, and I started, but the girls had moved casually on and her remark was addressed to the premature moon, produced like the supper, no doubt, out of a caterer’s basket.",-0.1901,0.082,0.094,0.824,0,1,0
149,“He doesn’t want any trouble with anybody.” “Who doesn’t?” I inquired.,-0.34,0.108,0.225,0.667,0,1,0
150,“Somebody told me they thought he killed a man once.” A thrill passed over all of us.,-0.4588,0.125,0.225,0.65,0,1,0
151,"“I don’t think it’s so much that,” argued Lucille sceptically; “It’s more that he was a German spy during the war.” One of the men nodded in confirmation.",-0.4144,0.0,0.096,0.904,0,1,0
152,I’ll bet he killed a man.” She narrowed her eyes and shivered.,-0.6705,0.0,0.31,0.69,0,1,0
153,"There were three married couples and Jordan’s escort, a persistent undergraduate given to violent innuendo, and obviously under the impression that sooner or later Jordan was going to yield him up her person to a greater or lesser degree.",-0.128,0.104,0.092,0.804,0,1,0
154,"“Let’s get out,” whispered Jordan, after a somehow wasteful and inappropriate half-hour; “this is much too polite for me.” We got up, and she explained that we were going to find the host: I had never met him, she said, and it was making me uneasy.",-0.3818,0.0,0.057,0.943,0,1,0
155,"The undergraduate nodded in a cynical, melancholy way.",-0.6705,0.0,0.524,0.476,0,1,0
156,"On a chance we tried an important-looking door, and walked into a high Gothic library, panelled with carved English oak, and probably transported complete from some ruin overseas.",-0.4215,0.067,0.128,0.805,0,1,0
157,“What do you think?” he demanded impetuously.,-0.2263,0.0,0.241,0.759,0,1,0
158,As a matter of fact you needn’t bother to ascertain.,-0.3182,0.105,0.229,0.667,0,1,0
159,It fooled me.,-0.3818,0.0,0.565,0.435,0,1,0
160,"Knew when to stop, too—didn’t cut the pages.",-0.5106,0.0,0.417,0.583,0,1,0
161,"What do you expect?” He snatched the book from me and replaced it hastily on its shelf, muttering that if one brick was removed the whole library was liable to collapse.",-0.4939,0.0,0.096,0.904,0,1,0
162,“Who brought you?” he demanded.,-0.2263,0.0,0.322,0.678,0,1,0
163,"I’ve been drunk for about a week now, and I thought it might sober me up to sit in a library.” “Has it?” “A little bit, I think.",-0.34,0.0,0.094,0.906,0,1,0
164,They’re—” “You told us.” We shook hands with him gravely and went back outdoors.,-0.4404,0.0,0.245,0.755,0,1,0
165,"The moon had risen higher, and floating in the Sound was a triangle of silver scales, trembling a little to the stiff, tinny drip of the banjoes on the lawn.",-0.3612,0.0,0.085,0.915,0,1,0
166,“Who is he?” I demanded.,-0.2263,0.0,0.388,0.612,0,1,0
167,"“However, I don’t believe it.” “Why not?” “I don’t know,” she insisted, “I just don’t think he went there.” Something in her tone reminded me of the other girl’s “I think he killed a man,” and had the effect of stimulating my curiosity.",-0.3818,0.062,0.097,0.841,0,1,0
168,"“Ladies and gentlemen,” he cried.",-0.3818,0.0,0.394,0.606,0,1,0
169,"“The piece is known,” he concluded lustily, “as ‘Vladmir Tostoff’s Jazz History of the World!’ ” The nature of Mr. Tostoff’s composition eluded me, because just as it began my eyes fell on Gatsby, standing alone on the marble steps and looking from one group to another with approving eyes.",-0.3164,0.0,0.046,0.954,0,1,0
170,"When the “Jazz History of the World” was over, girls were putting their heads on men’s shoulders in a puppyish, convivial way, girls were swooning backward playfully into men’s arms, even into groups, knowing that someone would arrest their falls—but no one swooned backward on Gatsby, and no French bob touched Gatsby’s shoulder, and no singing quartets were formed with Gatsby’s head for one link.",-0.4939,0.067,0.125,0.808,0,1,0
171,I was alone and it was almost two.,-0.25,0.0,0.25,0.75,0,1,0
172,"For some time confused and intriguing sounds had issued from a long, many-windowed room which overhung the terrace.",-0.3182,0.0,0.126,0.874,0,1,0
173,"She had drunk a quantity of champagne, and during the course of her song she had decided, ineptly, that everything was very, very sad—she was not only singing, she was weeping too.",-0.4767,0.062,0.149,0.789,0,1,0
174,"Whenever there was a pause in the song she filled it with gasping, broken sobs, and then took up the lyric again in a quavering soprano.",-0.765,0.0,0.231,0.769,0,1,0
175,"“She had a fight with a man who says he’s her husband,” explained a girl at my elbow.",-0.3818,0.0,0.157,0.843,0,1,0
176,Most of the remaining women were now having fights with men said to be their husbands.,-0.4019,0.0,0.153,0.847,0,1,0
177,The reluctance to go home was not confined to wayward men.,-0.34,0.0,0.194,0.806,0,1,0
178,The hall was at present occupied by two deplorably sober men and their highly indignant wives.,-0.4754,0.0,0.171,0.829,0,1,0
179,"“Whenever he sees I’m having a good time he wants to go home.” “Never heard anything so selfish in my life.” “We’re always the first ones to leave.” “So are we.” “Well, we’re almost the last tonight,” said one of the men sheepishly.",-0.2712,0.062,0.085,0.853,0,1,0
180,"“The orchestra left half an hour ago.” In spite of the wives’ agreement that such malevolence was beyond credibility, the dispute ended in a short struggle, and both wives were lifted, kicking, into the night.",-0.6369,0.077,0.202,0.721,0,1,0
181,"Jordan’s party were calling impatiently to her from the porch, but she lingered for a moment to shake hands.",-0.2617,0.089,0.188,0.723,0,1,0
182,"Rather ashamed that on my first appearance I had stayed so late, I joined the last of Gatsby’s guests, who were clustered around him.",-0.4767,0.0,0.129,0.871,0,1,0
183,"“And don’t forget we’re going up in the hydroplane tomorrow morning, at nine o’clock.” Then the butler, behind his shoulder: “Philadelphia wants you on the phone, sir.” “All right, in a minute.",-0.2263,0.0,0.06,0.94,0,1,0
184,Fifty feet from the door a dozen headlights illuminated a bizarre and tumultuous scene.,-0.3182,0.0,0.173,0.827,0,1,0
185,"In the ditch beside the road, right side up, but violently shorn of one wheel, rested a new coupé which had left Gatsby’s drive not two minutes before.",-0.7351,0.0,0.167,0.833,0,1,0
186,"However, as they had left their cars blocking the road, a harsh, discordant din from those in the rear had been audible for some time, and added to the already violent confusion of the scene.",-0.891,0.0,0.279,0.721,0,1,0
