,Word/Token,Count
188,impressionability,1
189,dignified,4
190,creative,2
191,temperament,2
192,—it,1
193,extraordinary,3
194,gift,1
195,romantic,10
196,readiness,1
197,never,60
198,found,35
199,likely,4
200,shall,2
201,find,17
202,No—Gatsby,1
203,turned,64
204,right,45
205,end,19
206,preyed,1
207,foul,2
208,dust,9
209,floated,6
210,wake,2
211,dreams,7
212,temporarily,1
213,closed,8
214,interest,5
215,abortive,2
216,sorrows,1
217,short-winded,1
218,elations,1
219,My,17
220,family,13
221,prominent,1
222,well-to-do,1
223,Middle,5
224,Western,2
225,city,17
226,three,33
227,generations,1
228,Carraways,1
229,clan,3
230,tradition,1
231,descended,2
232,Dukes,1
233,Buccleuch,1
234,actual,2
235,founder,1
236,line,10
237,grandfather,1
238,brother,3
239,fifty-one,1
240,sent,16
241,substitute,1
242,Civil,1
243,War,2
244,started,24
245,wholesale,1
246,hardware,1
247,business,18
248,carries,1
249,today,6
250,saw,52
251,great-uncle,1
252,supposed,6
253,look,34
254,him—with,1
255,special,2
256,reference,1
257,rather,24
258,hard-boiled,1
259,painting,2
260,hangs,2
261,office,16
262,graduated,1
263,New,43
264,Haven,5
265,1915,1
266,quarter,4
267,century,1
268,later,24
269,participated,1
270,delayed,2
271,Teutonic,1
272,migration,1
273,known,11
274,Great,1
275,enjoyed,5
276,counter-raid,1
277,thoroughly,1
278,restless,5
279,Instead,3
280,warm,11
281,centre,3
282,West,33
283,seemed,39
284,ragged,3
285,edge,7
286,universe—so,1
287,decided,4
288,go,60
289,learn,2
290,bond,4
291,Everybody,5
292,knew,52
293,could,61
294,support,2
295,single,10
296,All,22
297,aunts,1
298,uncles,1
299,talked,16
300,choosing,1
301,prep,2
302,school,2
303,finally,9
304,said,233
305,Why—ye-es,1
306,grave,5
307,hesitant,1
308,faces,12
309,Father,2
310,agreed,9
311,finance,1
312,year,18
313,various,4
314,delays,1
315,permanently,1
316,thought,47
317,spring,6
318,twenty-two,1
319,practical,3
320,thing,34
321,rooms,9
322,season,4
323,left,39
324,country,4
325,wide,7
326,lawns,4
327,friendly,1
328,trees,12
329,take,27
330,house,90
331,together,25
332,commuting,2
333,town,16
334,sounded,5
335,idea,18
336,weather-beaten,1
337,cardboard,2
338,bungalow,1
339,eighty,2
340,month,7
341,minute,32
342,firm,2
343,ordered,4
344,Washington,1
345,went,90
346,alone,25
347,dog—at,1
348,days,18
349,ran,13
350,away—and,1
351,old,79
352,Dodge,1
353,Finnish,3
354,woman,21
355,bed,13
356,cooked,2
357,breakfast,4
358,muttered,6
359,wisdom,1
360,electric,3
361,stove,1
362,It,154
363,lonely,2
364,day,41
365,morning,26
366,recently,1
367,arrived,16
368,stopped,19
369,road,20
370,How,23
371,get,70
372,Egg,30
373,village,6
374,?,328
375,asked,43
376,helplessly,4
377,walked,23
378,longer,13
379,guide,1
380,pathfinder,1
381,original,1
382,settler,1
383,casually,6
384,conferred,1
385,freedom,2
386,neighbourhood,2
387,sunshine,4
388,bursts,2
389,leaves,7
390,growing,2
391,things,26
392,grow,4
393,fast,3
394,movies,5
395,familiar,7
396,conviction,1
397,beginning,5
398,summer,18
399,There,46
400,much,33
401,read,10
402,fine,9
403,health,1
404,pulled,13
405,breath-giving,1
406,air,25
407,bought,16
408,dozen,18
409,volumes,1
410,banking,1
411,credit,1
412,investment,1
413,securities,2
414,stood,28
415,shelf,2
416,red,5
417,gold,6
418,new,26
419,money,19
420,mint,6
421,promising,3
422,unfold,1
423,shining,6
424,secrets,1
425,Midas,1
426,Morgan,1
427,Maecenas,1
428,high,15
429,intention,4
430,reading,2
431,books,7
432,besides,1
433,literary,1
434,college—one,1
435,wrote,3
436,solemn,7
437,editorials,1
438,Yale,3
439,News—and,1
440,going,66
441,bring,4
442,become,5
443,limited,3
444,specialists,1
445,well-rounded,1
446,man.,13
447,epigram—life,1
448,successfully,1
449,looked,81
450,window,18
451,chance,5
452,rented,2
453,strangest,2
454,communities,1
455,North,2
456,America,2
457,slender,5
458,island,2
459,extends,1
460,due,2
461,east,1
462,York—and,2
463,among,20
464,natural,2
465,curiosities,1
466,two,66
467,unusual,3
468,formations,1
469,land,4
470,Twenty,1
471,pair,6
472,enormous,11
473,eggs,1
474,identical,2
475,contour,2
476,separated,2
477,courtesy,2
478,bay,6
479,jut,2
480,domesticated,1
481,body,19
482,salt,1
483,water,8
484,hemisphere,1
485,barnyard,1
486,Long,13
487,Island,16
488,Sound,11
489,They,51
490,perfect,4
491,ovals—like,1
492,egg,2
493,Columbus,1
494,story,11
495,crushed,3
496,flat,6
497,contact,3
498,end—but,1
499,physical,8
500,resemblance,2
501,must,31
502,source,3
503,perpetual,1
504,wonder,9
505,gulls,1
506,fly,1
507,overhead,7
508,To,6
509,wingless,1
510,interesting,5
511,phenomenon,1
512,dissimilarity,1
513,every,26
514,particular,6
515,except,15
516,shape,8
517,size,1
518,lived,11
519,the—well,1
520,less,12
521,fashionable,2
522,though,33
523,superficial,1
524,tag,1
525,bizarre,3
526,sinister,4
527,contrast,1
528,tip,4
529,fifty,7
530,yards,4
531,squeezed,2
532,huge,4
533,places,4
534,twelve,3
535,fifteen,2
536,colossal,4
537,affair,6
538,standard—it,1
539,factual,1
540,imitation,1
541,Hôtel,1
542,de,3
543,Ville,1
544,Normandy,1
545,tower,4
546,side,25
547,spanking,1
548,thin,8
549,beard,2
550,raw,4
551,ivy,1
552,marble,5
553,swimming,4
554,pool,11
555,forty,3
556,acres,1
557,lawn,22
558,garden,22
559,mansion,5
560,Or,4
561,know,89
562,Mr.,78
563,inhabited,1
564,gentleman,3
565,eyesore,2
566,small,32
567,overlooked,1
568,view,6
569,partial,1
570,neighbour,6
571,consoling,2
572,proximity,2
573,millionaires—all,1
574,dollars,5
575,Across,1
576,white,39
577,palaces,1
578,glittered,1
579,along,31
580,history,4
581,really,11
582,begins,2
583,evening,17
584,drove,15
585,dinner,11
586,Tom,188
587,Buchanans,3
588,Daisy,183
589,second,9
590,cousin,5
591,removed,3
592,war,7
593,spent,4
594,Chicago,18
595,Her,29
596,husband,14
597,accomplishments,1
598,powerful,2
599,ends,2
600,played,7
601,football,2
602,Haven—a,1
603,national,2
604,figure,6
605,reach,7
606,acute,2
607,excellence,1
608,twenty-one,1
609,afterward,5
610,savours,1
611,anticlimax,1
612,His,41
613,enormously,1
614,wealthy—even,1
615,reproach—but,1
616,fashion,1
617,took,48
618,breath,9
619,:,68
620,instance,1
621,brought,17
622,string,4
623,polo,5
624,ponies,1
625,Lake,4
626,Forest,2
627,realize,4
628,generation,2
629,wealthy,2
630,enough,15
631,Why,20
632,France,4
633,reason,6
634,drifted,5
635,unrestfully,1
636,wherever,2
637,rich,8
638,permanent,1
639,move,9
640,telephone,18
641,believe,16
642,it—I,2
643,sight,13
644,would,50
645,drift,3
646,seeking,1
647,wistfully,1
648,dramatic,1
649,turbulence,1
650,irrecoverable,1
651,game,4
652,happened,18
653,windy,2
654,see,69
655,friends,6
656,scarcely,7
657,Their,3
658,even,37
659,elaborate,5
660,expected,5
661,cheerful,7
662,red-and-white,1
663,Georgian,1
664,Colonial,1
665,overlooking,1
666,beach,8
667,towards,5
668,front,31
669,door,65
670,mile,5
671,jumping,2
672,sundials,1
673,brick,5
674,walks,1
675,burning,2
676,gardens—finally,1
677,reached,15
678,drifting,3
679,bright,16
680,vines,2
681,momentum,1
682,run,12
683,broken,9
684,French,4
685,windows,20
686,glowing,5
687,reflected,1
688,open,21
689,afternoon,34
690,Buchanan,19
691,riding,2
692,clothes,7
693,standing,15
694,legs,2
695,apart,4
696,porch,16
697,changed,7
698,Now,11
699,sturdy,2
700,straw-haired,1
701,thirty,9
702,mouth,12
703,supercilious,2
704,manner,4
705,Two,6
706,arrogant,2
707,eyes,85
708,established,2
709,dominance,1
710,face,51
711,appearance,2
712,leaning,6
713,aggressively,2
714,forward,13
715,Not,8
716,effeminate,1
717,swank,1
718,hide,1
719,power,3
720,body—he,1
721,fill,1
722,glistening,4
723,boots,3
724,strained,6
725,top,5
726,lacing,1
727,pack,1
728,muscle,2
729,shifting,2
730,shoulder,13
731,moved,26
732,coat,16
733,capable,2
734,leverage—a,1
735,cruel,1
736,speaking,4
737,voice,58
738,gruff,2
739,husky,5
740,tenor,2
741,added,12
742,impression,8
743,fractiousness,1
744,conveyed,1
745,touch,9
746,paternal,2
747,contempt,2
748,toward,46
749,liked—and,1
750,hated,2
751,guts,1
752,think,64
753,opinion,3
754,matters,2
755,final,2
756,stronger,1
757,are.,3
758,We,73
759,senior,1
760,society,2
761,approved,1
762,harsh,4
763,defiant,2
764,wistfulness,1
765,minutes,14
766,sunny,1
767,got,84
768,nice,13
769,place,19
770,flashing,2
771,restlessly,2
772,Turning,2
773,around,68
774,arm,15
775,broad,4
776,hand,63
777,vista,1
778,including,3
779,sweep,2
780,sunken,2
781,Italian,3
782,half,34
783,acre,1
784,deep,13
785,pungent,1
786,roses,1
787,snub-nosed,1
788,motorboat,1
789,bumped,1
790,tide,2
791,offshore,1
792,belonged,4
793,Demaine,1
794,oil,2
795,politely,8
796,abruptly,6
797,inside.,1
798,hallway,1
799,rosy-coloured,2
800,space,3
801,fragilely,1
802,bound,4
803,either,10
804,ajar,2
805,gleaming,4
806,fresh,7
807,grass,12
808,outside,14
809,A,60
810,breeze,3
811,blew,7
812,room,53
813,curtains,6
814,pale,14
815,flags,1
816,twisting,2
817,frosted,1
818,wedding-cake,1
819,ceiling,3
820,rippled,1
821,wine-coloured,1
822,rug,1
823,making,10
824,shadow,9
825,wind,13
826,sea,6
827,completely,4
828,stationary,1
829,object,6
830,couch,11
831,women,15
832,buoyed,1
833,upon,33
834,anchored,1
835,balloon,1
836,dresses,6
837,rippling,1
838,fluttering,1
839,blown,4
840,short,14
841,flight,2
842,moments,3
843,listening,4
844,whip,1
845,snap,3
846,groan,1
847,picture,10
848,wall,10
849,Then,49
850,boom,2
851,shut,3
852,rear,4
853,caught,8
854,died,7
855,rugs,1
856,ballooned,1
857,slowly,17
858,floor,14
859,stranger,4
860,She,123
861,extended,1
862,full,21
863,length,3
864,divan,1
865,motionless,2
866,chin,4
867,raised,12
868,balancing,4
869,quite,8
870,fall,4
871,corner,9
872,hint,3
873,it—indeed,1
874,almost,15
875,surprised,12
876,murmuring,1
877,apology,2
878,disturbed,1
879,coming,10
880,girl,45
881,attempt,4
882,rise—she,1
883,leaned,15
884,slightly,9
885,conscientious,2
886,expression—then,1
887,laughed,15
888,absurd,3
889,charming,4
890,laugh,9
891,p-paralysed,1
892,happiness.,1
893,witty,1
894,held,14
895,moment,70
896,looking,34
897,That,54
898,hinted,1
899,murmur,9
900,surname,1
901,Baker,39
902,(,7
903,heard,43
904,make,26
905,lean,1
906,irrelevant,1
907,criticism,1
908,),7
909,At,31
910,rate,2
911,Miss,34
912,lips,11
913,fluttered,1
914,nodded,16
915,imperceptibly,1
916,quickly,15
917,tipped,4
918,head,40
919,again—the,1
920,obviously,6
921,tottered,1
922,given,7
923,fright,1
924,Again,2
925,arose,1
926,Almost,5
927,exhibition,1
928,complete,9
929,self-sufficiency,1
930,draws,1
931,stunned,1
932,tribute,3
933,began,50
934,ask,14
935,questions,4
936,low,10
937,thrilling,5
938,kind,10
939,ear,9
940,follows,1
941,speech,2
942,arrangement,2
943,notes,2
944,sad,7
945,lovely,9
946,passionate,1
947,excitement,7
948,cared,3
949,difficult,1
950,singing,6
951,compulsion,1
952,whispered,13
953,Listen,6
954,promise,6
955,done,7
956,gay,8
957,exciting,3
958,hovering,2
959,next,29
960,hour,33
961,love,22
962,Do,21
963,miss,4
964,cried,31
965,ecstatically,1
966,whole,17
967,desolate,4
968,cars,13
969,wheel,8
970,painted,1
971,black,11
972,mourning,1
973,wreath,3
974,persistent,5
975,wail,2
976,night,65
977,north,1
978,shore.,1
979,!,123
980,Let,9
981,Tomorrow,1
982,irrelevantly,1
983,You,108
984,ought,18
985,baby.,1
986,to.,5
987,asleep,10
988,seen,31
989,Never.,1
990,Well,41
991,s—,2
992,rested,6
993,What,59
994,Nick,24
995,Who,16
996,Never,3
997,remarked,12
998,decisively,4
999,annoyed,3
1000,answered,17
1001,shortly,4
1002,stay,5
1003,East.,1
1004,Oh,35
1005,worry,2
1006,glancing,3
1007,alert,3
1008,God,20
1009,damned,5
1010,fool,6
1011,live,16
1012,anywhere,2
1013,else.,2
1014,Absolutely,3
1015,suddenness,1
1016,started—it,1
1017,first,51
1018,word,21
1019,uttered,2
1020,Evidently,5
1021,yawned,4
1022,rapid,1
1023,deft,2
1024,movements,5
1025,stiff,6
1026,complained,3
1027,lying,5
1028,sofa,2
1029,long,49
1030,remember.,1
1031,Don,22
1032,retorted,1
1033,trying,18
1034,York,28
1035,afternoon.,8
1036,No,28
1037,thanks,4
1038,four,24
1039,cocktails,5
1040,pantry,3
1041,absolutely,5
1042,training.,1
1043,host,6
1044,incredulously,5
1045,drink,11
1046,drop,4
1047,bottom,1
1048,glass,9
1049,anything,24
1050,beyond,11
1051,me.,8
1052,wondering,3
1053,done.,1
1054,small-breasted,1
1055,erect,1
1056,carriage,1
1057,accentuated,1
1058,throwing,3
1059,backward,6
1060,shoulders,5
1061,cadet,1
1062,grey,15
1063,sun-strained,2
1064,polite,6
1065,reciprocal,1
1066,curiosity,4
1067,wan,4
1068,discontented,1
1069,occurred,9
1070,somewhere,12
1071,contemptuously,2
1072,somebody,15
1073,there.,10
1074,single—,1
1075,Gatsby.,5
1076,demanded,24
1077,Before,4
1078,reply,2
1079,announced,4
1080,wedging,1
1081,tense,3
1082,imperatively,1
1083,mine,10
1084,compelled,3
1085,moving,8
1086,checker,1
1087,another,35
1088,square,4
1089,Slenderly,1
1090,languidly,1
1091,hands,37
1092,set,16
1093,lightly,3
1094,hips,3
1095,preceded,1
1096,us,62
1097,sunset,1
1098,candles,3
1099,flickered,1
1100,table,30
1101,diminished,2
1102,objected,6
1103,frowning,3
1104,snapped,5
1105,fingers,10
1106,weeks,9
1107,longest,3
1108,year.,2
1109,radiantly,1
1110,watch,9
1111,it.,18
1112,plan,4
1113,sitting,15
1114,getting,15
1115,answer,9
1116,fastened,1
1117,awed,3
1118,expression,15
1119,finger,1
1120,Look,16
1121,hurt,2
1122,looked—the,1
1123,knuckle,1
1124,blue,21
1125,accusingly,2
1126,mean,17
1127,marrying,2
1128,brute,1
1129,big,18
1130,hulking,3
1131,specimen,1
1132,a—,1
1133,hate,4
1134,‘,25
1135,crossly,2
1136,kidding.,1
1137,Hulking,1
1138,insisted,16
1139,Sometimes,6
1140,unobtrusively,1
1141,bantering,1
1142,inconsequence,1
1143,chatter,4
1144,cool,13
1145,impersonal,2
1146,absence,3
1147,desire,2
1148,accepted,7
1149,pleasant,6
1150,effort,13
1151,entertain,1
1152,entertained,1
1153,presently,3
1154,put,20
1155,sharply,7
1156,different,3
1157,hurried,12
1158,phase,3
1159,close,15
1160,continually,5
1161,disappointed,2
1162,anticipation,1
1163,else,5
1164,sheer,3
1165,nervous,6
1166,dread,1
1167,uncivilized,1
1168,confessed,1
1169,corky,1
1170,impressive,2
1171,claret,1
1172,Can,5
1173,talk,12
1174,crops,1
1175,remark,7
1176,taken,9
1177,unexpected,3
1178,Civilization,1
1179,pieces,5
1180,broke,23
1181,violently,5
1182,gotten,2
1183,terrible,8
1184,pessimist,1
1185,Have,7
1186,Rise,2
1187,Coloured,1
1188,Empires,1
1189,Goddard,1
1190,tone,5
1191,everybody,5
1192,race,4
1193,be—will,1
1194,utterly,4
1195,submerged,2
1196,scientific,2
1197,stuff,3
1198,proved.,1
1199,profound,4
1200,unthoughtful,1
1201,sadness,2
1202,reads,1
1203,words,15
1204,we—,1
1205,impatiently,7
1206,fellow,7
1207,worked,4
1208,dominant,1
1209,races,1
1210,control,4
1211,things.,1
1212,beat,8
1213,winking,1
1214,ferociously,1
1215,fervent,1
1216,sun,11
1217,California—,1
1218,interrupted,7
1219,heavily,2
1220,chair,17
1221,Nordics,1
1222,and—,1
1223,After,24
1224,infinitesimal,1
1225,hesitation,3
1226,included,6
1227,slight,1
1228,nod,3
1229,winked,2
1230,—And,1
1231,produced,2
1232,civilization—oh,1
1233,science,1
1234,art,1
1235,pathetic,1
1236,concentration,2
1237,complacency,1
1238,immediately,15
1239,rang,10
1240,inside,16
1241,butler,20
1242,seized,2
1243,momentary,2
1244,interruption,1
1245,tell,30
1246,enthusiastically,3
1247,nose,10
1248,want,56
1249,hear,22
1250,tonight.,2
1251,used,17
1252,silver,11
1253,polisher,1
1254,service,3
1255,hundred,14
1256,polish,1
1257,till,6
1258,affect,2
1259,nose—,1
1260,Things,2
1261,bad,11
1262,worse,3
1263,Yes,13
1264,give,18
1265,position.,1
1266,For,17
1267,fell,17
1268,affection,2
1269,breathlessly,3
1270,listened—then,1
1271,glow,3
1272,faded,7
1273,light,40
1274,deserting,1
1275,lingering,1
1276,regret,1
1277,children,6
1278,leaving,13
1279,street,6
1280,dusk,4
1281,murmured,5
1282,whereupon,7
1283,frowned,3
1284,pushed,8
1285,without,27
1286,As,28
1287,quickened,1
1288,within,6
1289,remind,1
1290,a—of,1
1291,rose,20
1292,absolute,4
1293,Doesn,4
1294,confirmation,2
1295,An,5
1296,untrue,3
1297,faintly,10
1298,extemporizing,1
1299,stirring,1
1300,warmth,2
1301,flowed,1
1302,concealed,4
1303,breathless,3
1304,suddenly,32
1305,threw,7
1306,napkin,1
1307,excused,2
1308,exchanged,2
1309,glance,7
1310,consciously,1
1311,devoid,1
1312,meaning,3
1313,speak,14
1314,sat,32
1315,alertly,2
1316,Sh,2
1317,warning,1
1318,subdued,1
1319,impassioned,4
1320,audible,2
1321,unashamed,1
1322,trembled,1
1323,verge,3
1324,coherence,1
1325,sank,4
1326,mounted,5
1327,excitedly,5
1328,ceased,2
1329,altogether,1
1330,spoke,10
1331,neighbour—,1
1332,happens.,1
1333,Is,11
1334,happening,1
1335,inquired,26
1336,innocently,5
1337,honestly,1
1338,knew.,1
1339,t.,3
1340,Why—,1
1341,hesitantly,1
1342,York.,2
1343,Got,1
1344,repeated,11
1345,blankly,4
1346,might,26
1347,decency,2
1348,time,75
1349,grasped,1
1350,flutter,2
1351,dress,15
1352,crunch,1
1353,leather,5
1354,helped,6
1355,gaiety,4
1356,glanced,15
1357,searchingly,1
1358,continued,13
1359,outdoors,3
1360,bird,2
1361,nightingale,1
1362,Cunard,1
1363,White,1
1364,Star,2
1365,Line,1
1366,away—,1
1367,sang,2
1368,Very,6
1369,miserably,2
1370,stables.,1
1371,startlingly,2
1372,shook,17
1373,subject,7
1374,stables,2
1375,fact,18
1376,subjects,1
1377,vanished,6
1378,Among,1
1379,fragments,1
1380,five,30
1381,lit,4
1382,pointlessly,2
1383,conscious,1
1384,wanting,1
1385,squarely,1
1386,everyone,9
1387,yet,8
1388,avoid,2
1389,guess,3
1390,thinking,7
1391,doubt,5
1392,mastered,1
1393,hardy,1
1394,scepticism,3
1395,able,6
1396,fifth,1
1397,guest,3
1398,shrill,3
1399,metallic,2
1400,urgency,1
1401,situation,3
1402,intriguing—my,1
1403,instinct,3
1404,police,7
1405,horses,2
1406,needless,1
1407,mentioned,4
1408,several,14
1409,feet,23
1410,twilight,9
1411,strolled,4
1412,library,8
1413,vigil,3
1414,beside,21
1415,perfectly,3
1416,tangible,3
1417,pleasantly,2
1418,interested,4
1419,deaf,1
1420,followed,15
1421,chain,3
1422,connecting,1
1423,verandas,2
1424,gloom,2
1425,wicker,2
1426,settee,2
1427,feeling,9
1428,gradually,5
1429,velvet,1
1430,turbulent,2
1431,emotions,3
1432,possessed,3
1433,sedative,1
1434,well,12
1435,Even,6
1436,cousins,2
1437,wedding.,1
1438,war.,4
1439,true.,3
1440,hesitated,9
1441,pretty,14
1442,cynical,2
1443,everything.,3
1444,waited,16
1445,returned,6
1446,feebly,1
1447,daughter,2
1448,suppose,12
1449,talks,1
1450,and—eats,1
1451,yes.,1
1452,absently,3
1453,let,29
1454,born,1
1455,Would,2
1456,much.,2
1457,show,7
1458,about—things,1
1459,knows,5
1460,woke,3
1461,ether,1
1462,abandoned,2
1463,nurse,5
1464,boy,12
1465,wept,1
1466,glad,11
1467,fool—that,1
1468,best,6
1469,beautiful,7
1470,fool.,1
1471,anyhow,9
1472,convinced,5
1473,thinks,3
1474,so—the,1
1475,advanced,1
1476,everywhere,2
1477,flashed,3
1478,Sophisticated—God,1
1479,sophisticated,1
1480,instant,4
1481,ceasing,1
1482,compel,1
1483,belief,1
1484,basic,1
1485,insincerity,1
1486,uneasy,4
1487,trick,1
1488,exact,1
1489,contributory,1
1490,emotion,5
1491,sure,13
1492,smirk,1
1493,asserted,3
1494,membership,1
1495,distinguished,2
1496,Inside,1
1497,crimson,2
1498,bloomed,3
1499,aloud,5
1500,Saturday,5
1501,Evening,1
1502,Post—the,1
1503,murmurous,2
1504,uninflected,1
1505,running,5
1506,soothing,2
1507,tune,1
1508,lamplight,1
1509,dull,3
1510,autumn-leaf,1
1511,yellow,22
1512,hair,21
1513,glinted,1
1514,paper,3
1515,page,1
1516,muscles,1
1517,arms,12
1518,silent,8
1519,lifted,5
1520,tossing,1
1521,magazine,3
1522,issue.,1
1523,movement,6
1524,knee,3
1525,Ten,1
1526,clock,28
1527,apparently,6
1528,finding,6
1529,Time,1
1530,good,19
1531,bed.,3
1532,Jordan,71
1533,play,11
1534,tournament,3
1535,tomorrow,12
1536,explained,14
1537,Westchester.,1
1538,Oh—you,1
1539,Baker.,1
1540,familiar—its,1
1541,pleasing,1
1542,contemptuous,3
1543,rotogravure,1
1544,pictures,1
1545,sporting,1
1546,Asheville,1
1547,Hot,6
1548,Springs,1
1549,Palm,1
1550,Beach,1
1551,critical,1
1552,unpleasant,2
1553,forgotten,9
1554,ago,13
1555,Good,11
1556,softly,2
1557,Wake,1
1558,eight,4
1559,you.,18
1560,up.,2
1561,Carraway,8
1562,See,6
1563,anon.,1
1564,Of,13
1565,course,22
1566,confirmed,2
1567,arrange,3
1568,marriage,2
1569,Come,21
1570,often,7
1571,of—oh—fling,1
1572,know—lock,1
1573,accidentally,1
1574,linen,2
1575,closets,1
1576,push,2
1577,boat,4
1578,thing—,1
1579,called,27
1580,stairs,3
1581,word.,1
1582,oughtn,4
1583,way.,1
1584,coldly,2
1585,family.,1
1586,aunt,2
1587,Besides,1
1588,spend,3
1589,lots,1
1590,weekends,2
1591,home,25
1592,influence,2
1593,her.,3
1594,silence,9
1595,From,6
1596,Louisville,7
1597,Our,3
1598,girlhood,1
1599,passed,18
1600,white—,1
1601,Did,16
1602,veranda,4
1603,seem,4
1604,Nordic,1
1605,crept,2
1606,know—,1
1607,advised,2
1608,motor,4
1609,peremptorily,1
1610,Wait,3
1611,forgot,4
1612,important,2
1613,engaged,6
1614,West.,3
1615,corroborated,1
1616,kindly,2
1617,engaged.,1
1618,libel,1
1619,poor.,1
1620,But,69
1621,surprising,4
1622,opening,8
1623,flower-like,1
1624,referring,1
1625,vaguely,4
1626,gossip,2
1627,published,1
1628,banns,1
1629,reasons,2
1630,stop,13
1631,friend,18
1632,account,1
1633,rumours,3
1634,rumoured,1
1635,touched,5
1636,remotely,2
1637,rich—nevertheless,1
1638,confused,8
1639,disgusted,1
1640,rush,3
1641,child,9
1642,arms—but,1
1643,intentions,2
1644,depressed,1
1645,Something,6
1646,nibble,1
1647,stale,2
1648,ideas,3
1649,egotism,1
1650,nourished,1
1651,peremptory,1
1652,Already,1
1653,roadhouse,2
1654,roofs,2
1655,wayside,1
1656,garages,1
1657,petrol-pumps,1
1658,pools,1
1659,estate,1
1660,car,61
1661,shed,1
1662,roller,1
1663,yard,4
1664,loud,5
1665,wings,3
1666,beating,5
1667,organ,1
1668,sound,18
1669,bellows,1
1670,earth,4
1671,frogs,1
1672,silhouette,2
1673,cat,1
1674,wavered,2
1675,across,25
1676,moonlight,5
1677,alone—fifty,1
1678,emerged,5
1679,pockets,5
1680,regarding,2
1681,pepper,1
1682,stars,5
1683,leisurely,1
1684,secure,2
1685,position,4
1686,determine,1
1687,share,3
1688,local,2
1689,heavens,1
1690,call,17
1691,introduction,4
1692,sudden,5
1693,intimation,1
1694,content,3
1695,alone—he,1
1696,stretched,6
1697,dark,25
1698,far,18
1699,sworn,2
1700,trembling,10
1701,Involuntarily,1
1702,seaward—and,1
1703,green,15
1704,dock,3
1705,unquiet,1
1706,darkness,8
1707,About,11
1708,halfway,3
1709,hastily,5
1710,joins,1
1711,railroad,4
1712,runs,2
1713,shrink,1
1714,area,1
1715,valley,3
1716,ashes—a,1
1717,fantastic,7
1718,farm,2
1719,ashes,5
1720,wheat,2
1721,ridges,1
1722,hills,1
1723,grotesque,5
1724,gardens,4
1725,forms,2
1726,houses,7
1727,chimneys,1
1728,rising,3
1729,smoke,4
1730,transcendent,1
1731,ash-grey,2
1732,dimly,1
1733,already,14
1734,crumbling,1
1735,powdery,1
1736,Occasionally,1
1737,crawls,1
1738,invisible,6
1739,track,3
1740,ghastly,2
1741,creak,1
1742,comes,5
1743,rest,11
1744,swarm,1
1745,leaden,1
