w0,w1,w2,n,p
,and,dont,1,1.931807205640877e-05
,and,ever,1,1.931807205640877e-05
,and,finally,1,1.931807205640877e-05
,and,had,1,1.931807205640877e-05
,and,he,3,5.795421616922631e-05
,and,i,7,0.0001352265043948614
,and,id,1,1.931807205640877e-05
,and,if,1,1.931807205640877e-05
,and,it,1,1.931807205640877e-05
,and,just,1,1.931807205640877e-05
,and,last,1,1.931807205640877e-05
,and,luckily,1,1.931807205640877e-05
,and,motorists,1,1.931807205640877e-05
,and,mr,1,1.931807205640877e-05
,and,now,1,1.931807205640877e-05
,and,of,1,1.931807205640877e-05
,and,on,1,1.931807205640877e-05
,and,returned,1,1.931807205640877e-05
,and,thats,1,1.931807205640877e-05
,and,the,5,9.659036028204386e-05
,and,then,2,3.863614411281754e-05
,and,toms,1,1.931807205640877e-05
,and,underneath,1,1.931807205640877e-05
,and,we,2,3.863614411281754e-05
,and,weve,1,1.931807205640877e-05
,and,what,1,1.931807205640877e-05
,and,whats,1,1.931807205640877e-05
,and,when,2,3.863614411281754e-05
,and,with,1,1.931807205640877e-05
,and,yet,1,1.931807205640877e-05
,and,your,1,1.931807205640877e-05
,angry,and,1,1.931807205640877e-05
,answered,daisy,1,1.931807205640877e-05
,answered,the,1,1.931807205640877e-05
,answered,tom,1,1.931807205640877e-05
,answered,wilson,1,1.931807205640877e-05
,anyhow,till,1,1.931807205640877e-05
,anyhowdaisy,stepped,1,1.931807205640877e-05
,anyways,for,1,1.931807205640877e-05
,appended,jordan,1,1.931807205640877e-05
,are,you,1,1.931807205640877e-05
,arent,we,1,1.931807205640877e-05
,argued,lucille,1,1.931807205640877e-05
,as,a,2,3.863614411281754e-05
,as,for,2,3.863614411281754e-05
,as,gatsby,1,1.931807205640877e-05
,as,he,1,1.931807205640877e-05
,as,i,1,1.931807205640877e-05
,as,if,1,1.931807205640877e-05
,as,my,2,3.863614411281754e-05
,as,our,1,1.931807205640877e-05
,as,the,2,3.863614411281754e-05
,as,we,5,9.659036028204386e-05
,asa,<s>,1,1.931807205640877e-05
,asked,gatsby,1,1.931807205640877e-05
,asked,jordan,1,1.931807205640877e-05
,asked,mrs,2,3.863614411281754e-05
,asked,the,3,5.795421616922631e-05
,asserted,mr,1,1.931807205640877e-05
,at,<s>,1,1.931807205640877e-05
,at,a,1,1.931807205640877e-05
,at,any,1,1.931807205640877e-05
,at,eleven,1,1.931807205640877e-05
,at,first,3,5.795421616922631e-05
,at,her,1,1.931807205640877e-05
,at,high,1,1.931807205640877e-05
,at,least,1,1.931807205640877e-05
,at,night,1,1.931807205640877e-05
,at,small,1,1.931807205640877e-05
,at,the,4,7.727228822563508e-05
,at,this,1,1.931807205640877e-05
,aunt,jordans,1,1.931807205640877e-05
,aware,of,1,1.931807205640877e-05
,b,<s>,1,1.931807205640877e-05
,bath,every,1,1.931807205640877e-05
,be,better,1,1.931807205640877e-05
,been,sick,1,1.931807205640877e-05
,before,he,1,1.931807205640877e-05
,before,me,1,1.931807205640877e-05
,behind,him,1,1.931807205640877e-05
,belcher,and,1,1.931807205640877e-05
,besides,nicks,1,1.931807205640877e-05
,blinking,away,1,1.931807205640877e-05
,blocks,biloxi,1,1.931807205640877e-05
,bonds,or,1,1.931807205640877e-05
,both,of,1,1.931807205640877e-05
,broke,in,1,1.931807205640877e-05
,broke,out,3,5.795421616922631e-05
,brooded,mr,1,1.931807205640877e-05
,brookn,<s>,1,1.931807205640877e-05
,buchanan,,1,1.931807205640877e-05
,buchanan,<s>,2,3.863614411281754e-05
,buchanan,after,1,1.931807205640877e-05
,but,all,1,1.931807205640877e-05
,but,because,1,1.931807205640877e-05
,but,both,1,1.931807205640877e-05
,but,conceivably,1,1.931807205640877e-05
,but,daisy,1,1.931807205640877e-05
,but,he,4,7.727228822563508e-05
,but,his,1,1.931807205640877e-05
,but,i,10,0.00019318072056408772
,but,id,1,1.931807205640877e-05
,but,if,1,1.931807205640877e-05
,but,im,1,1.931807205640877e-05
,but,immediately,1,1.931807205640877e-05
,but,in,1,1.931807205640877e-05
,but,it,3,5.795421616922631e-05
,but,jordan,1,1.931807205640877e-05
,but,miss,1,1.931807205640877e-05
,but,no,1,1.931807205640877e-05
,but,she,1,1.931807205640877e-05
,but,the,1,1.931807205640877e-05
,but,there,4,7.727228822563508e-05
,but,they,2,3.863614411281754e-05
,but,though,1,1.931807205640877e-05
,but,we,1,1.931807205640877e-05
,but,what,3,5.795421616922631e-05
,but,when,2,3.863614411281754e-05
,but,wilson,1,1.931807205640877e-05
,but,with,1,1.931807205640877e-05
,but,young,1,1.931807205640877e-05
,by,<s>,1,1.931807205640877e-05
,by,god,1,1.931807205640877e-05
,by,half,1,1.931807205640877e-05
,by,midnight,1,1.931807205640877e-05
,by,the,1,1.931807205640877e-05
,called,daisy,1,1.931807205640877e-05
,called,gatsby,1,1.931807205640877e-05
,called,miss,1,1.931807205640877e-05
,cant,say,1,1.931807205640877e-05
,cant,you,1,1.931807205640877e-05
,carraway,,1,1.931807205640877e-05
,carraway,<s>,2,3.863614411281754e-05
,carraway,this,1,1.931807205640877e-05
,carraway,wants,1,1.931807205640877e-05
,cars,bought,1,1.931807205640877e-05
,celebrated,people,1,1.931807205640877e-05
,chrysties,wife,1,1.931807205640877e-05
,claud,<s>,1,1.931807205640877e-05
,come,in,1,1.931807205640877e-05
,come,on,5,9.659036028204386e-05
,come,onwere,1,1.931807205640877e-05
,come,over,1,1.931807205640877e-05
,come,to,1,1.931807205640877e-05
,commanded,daisy,1,1.931807205640877e-05
,commanded,gatsby,1,1.931807205640877e-05
,compared,to,1,1.931807205640877e-05
,conduct,may,1,1.931807205640877e-05
,confirmed,daisy,1,1.931807205640877e-05
,confused,he,1,1.931807205640877e-05
,contemporary,legends,1,1.931807205640877e-05
,continued,catherine,1,1.931807205640877e-05
,continued,gatsby,1,1.931807205640877e-05
,continued,jordan,1,1.931807205640877e-05
,continued,tom,1,1.931807205640877e-05
,corroborated,tom,1,1.931807205640877e-05
,countered,doctor,1,1.931807205640877e-05
,crazy,as,1,1.931807205640877e-05
,cried,catherine,1,1.931807205640877e-05
,cried,daisy,6,0.00011590843233845262
,cried,jordan,1,1.931807205640877e-05
,cried,miss,1,1.931807205640877e-05
,cried,mr,1,1.931807205640877e-05
,cried,mrs,1,1.931807205640877e-05
,cried,myrtle,1,1.931807205640877e-05
,cried,tom,2,3.863614411281754e-05
,crossing,the,1,1.931807205640877e-05
,da,fontano,1,1.931807205640877e-05
,dai,<s>,1,1.931807205640877e-05
,daisy,<s>,5,9.659036028204386e-05
,daisy,and,1,1.931807205640877e-05
,daisy,comes,1,1.931807205640877e-05
,daisy,exclaimed,1,1.931807205640877e-05
,daisy,looked,2,3.863614411281754e-05
,daisy,remembered,1,1.931807205640877e-05
,daisy,retorted,1,1.931807205640877e-05
,daisy,took,1,1.931807205640877e-05
,daisy,turned,1,1.931807205640877e-05
,daisy,was,2,3.863614411281754e-05
,daisy,watched,1,1.931807205640877e-05
,daisy,went,1,1.931807205640877e-05
,daisys,<s>,1,1.931807205640877e-05
,daisys,change,1,1.931807205640877e-05
,daisys,face,2,3.863614411281754e-05
,daisys,furious,1,1.931807205640877e-05
,daisys,sitting,1,1.931807205640877e-05
,daisys,voice,1,1.931807205640877e-05
,dan,cody,1,1.931807205640877e-05
,demanded,catherine,1,1.931807205640877e-05
,demanded,daisy,2,3.863614411281754e-05
,demanded,gatsby,1,1.931807205640877e-05
,demanded,the,1,1.931807205640877e-05
,demanded,tom,7,0.0001352265043948614
,did,mother,1,1.931807205640877e-05
,did,we,1,1.931807205640877e-05
,did,you,2,3.863614411281754e-05
,didnt,you,2,3.863614411281754e-05
,dimly,i,1,1.931807205640877e-05
,dishonesty,in,1,1.931807205640877e-05
,do,<s>,1,1.931807205640877e-05
,do,you,11,0.00021249879262049648
,doesnt,he,2,3.863614411281754e-05
,dont,<s>,2,3.863614411281754e-05
,dont,give,1,1.931807205640877e-05
,dont,let,1,1.931807205640877e-05
,doubtless,there,1,1.931807205640877e-05
,each,night,1,1.931807205640877e-05
,each,of,1,1.931807205640877e-05
,eberhardt,<s>,1,1.931807205640877e-05
,eckleburg,<s>,1,1.931807205640877e-05
,eckleburg,are,1,1.931807205640877e-05
,eckleburg,which,1,1.931807205640877e-05
,eckleburgs,faded,1,1.931807205640877e-05
,either,you,1,1.931807205640877e-05
,eluding,jordans,1,1.931807205640877e-05
,even,<s>,1,1.931807205640877e-05
,even,jordans,1,1.931807205640877e-05
,everybody,had,1,1.931807205640877e-05
,everybody,i,1,1.931807205640877e-05
,everybody,kept,1,1.931807205640877e-05
,everybody,thinks,1,1.931807205640877e-05
,evidently,he,1,1.931807205640877e-05
,evidently,it,1,1.931807205640877e-05
,evidently,some,1,1.931807205640877e-05
,exclaimed,daisy,1,1.931807205640877e-05
,exclaimed,tom,2,3.863614411281754e-05
,excuse,<s>,1,1.931807205640877e-05
,excuse,me,1,1.931807205640877e-05
,explained,a,1,1.931807205640877e-05
,explained,daisy,2,3.863614411281754e-05
,explained,gatsby,1,1.931807205640877e-05
,explained,the,1,1.931807205640877e-05
,explained,wilson,2,3.863614411281754e-05
,f,<s>,1,1.931807205640877e-05
,father,agreed,1,1.931807205640877e-05
,fifty,feet,1,1.931807205640877e-05
,filled,with,2,3.863614411281754e-05
,finally,an,1,1.931807205640877e-05
,finally,he,1,1.931807205640877e-05
,finally,we,1,1.931807205640877e-05
,fine,fellow,1,1.931807205640877e-05
,first,four,1,1.931807205640877e-05
,first,he,1,1.931807205640877e-05
,first,time,1,1.931807205640877e-05
,flink,and,1,1.931807205640877e-05
,for,<s>,1,1.931807205640877e-05
,for,a,6,0.00011590843233845262
,for,all,1,1.931807205640877e-05
,for,himself,1,1.931807205640877e-05
,for,just,1,1.931807205640877e-05
,for,several,1,1.931807205640877e-05
,for,some,1,1.931807205640877e-05
,for,the,1,1.931807205640877e-05
,forms,leaned,1,1.931807205640877e-05
,from,farther,1,1.931807205640877e-05
,from,the,1,1.931807205640877e-05
,gatsby,,1,1.931807205640877e-05
,gatsby,<s>,5,9.659036028204386e-05
,gatsby,answered,2,3.863614411281754e-05
,gatsby,asked,1,1.931807205640877e-05
,gatsby,but,1,1.931807205640877e-05
,gatsby,doesnt,1,1.931807205640877e-05
,gatsby,examined,1,1.931807205640877e-05
,gatsby,got,1,1.931807205640877e-05
,gatsby,had,1,1.931807205640877e-05
,gatsby,has,1,1.931807205640877e-05
,gatsby,hesitated,1,1.931807205640877e-05
,gatsby,himself,1,1.931807205640877e-05
,gatsby,i,1,1.931807205640877e-05
,gatsby,identified,1,1.931807205640877e-05
,gatsby,indicated,1,1.931807205640877e-05
,gatsby,it,1,1.931807205640877e-05
,gatsby,looked,1,1.931807205640877e-05
,gatsby,mr,1,1.931807205640877e-05
,gatsby,one,1,1.931807205640877e-05
,gatsby,pale,1,1.931807205640877e-05
,gatsby,said,2,3.863614411281754e-05
,gatsby,sick,1,1.931807205640877e-05
,gatsby,started,1,1.931807205640877e-05
,gatsby,turned,1,1.931807205640877e-05
,gatsby,urged,1,1.931807205640877e-05
,gatsby,was,1,1.931807205640877e-05
,gatsby,we,1,1.931807205640877e-05
,gatsby,would,2,3.863614411281754e-05
,gatsby,you,1,1.931807205640877e-05
,gatsbys,car,1,1.931807205640877e-05
,gatsbys,dead,1,1.931807205640877e-05
,gatsbys,eyes,1,1.931807205640877e-05
,gatz,<s>,2,3.863614411281754e-05
,gatz,and,1,1.931807205640877e-05
,gatz,opened,1,1.931807205640877e-05
,gatz,walking,1,1.931807205640877e-05
,george,b,2,3.863614411281754e-05
,get,my,1,1.931807205640877e-05
,get,on,1,1.931807205640877e-05
,get,some,1,1.931807205640877e-05
,go,and,1,1.931807205640877e-05
,god,<s>,1,1.931807205640877e-05
,god,how,1,1.931807205640877e-05
,going,<s>,1,1.931807205640877e-05
,going,on,1,1.931807205640877e-05
,good,night,5,9.659036028204386e-05
,gratulate,me,1,1.931807205640877e-05
,gravely,the,1,1.931807205640877e-05
,had,you,1,1.931807205640877e-05
,half,an,1,1.931807205640877e-05
,handsome,to,1,1.931807205640877e-05
,have,a,1,1.931807205640877e-05
,have,you,2,3.863614411281754e-05
,havent,you,2,3.863614411281754e-05
,he,<s>,13,0.000251134936733314
,he,advised,1,1.931807205640877e-05
,he,always,1,1.931807205640877e-05
,he,and,1,1.931807205640877e-05
,he,announced,1,1.931807205640877e-05
,he,answered,2,3.863614411281754e-05
,he,asked,5,9.659036028204386e-05
,he,assured,2,3.863614411281754e-05
,he,ate,1,1.931807205640877e-05
,he,believed,1,1.931807205640877e-05
,he,borrowed,1,1.931807205640877e-05
,he,broke,2,3.863614411281754e-05
,he,built,1,1.931807205640877e-05
,he,came,4,7.727228822563508e-05
,he,concentrated,1,1.931807205640877e-05
,he,concluded,1,1.931807205640877e-05
,he,continued,3,5.795421616922631e-05
,he,corrected,2,3.863614411281754e-05
,he,could,1,1.931807205640877e-05
,he,couldnt,1,1.931807205640877e-05
,he,cried,5,9.659036028204386e-05
,he,demanded,6,0.00011590843233845262
,he,didnt,2,3.863614411281754e-05
,he,dismissed,1,1.931807205640877e-05
,he,doesnt,2,3.863614411281754e-05
,he,drew,1,1.931807205640877e-05
,he,enjoined,1,1.931807205640877e-05
,he,exclaimed,1,1.931807205640877e-05
,he,excused,1,1.931807205640877e-05
,he,explained,2,3.863614411281754e-05
,he,exploded,1,1.931807205640877e-05
,he,felt,3,5.795421616922631e-05
,he,flipped,2,3.863614411281754e-05
,he,found,1,1.931807205640877e-05
,he,gave,1,1.931807205640877e-05
,he,had,17,0.0003284072249589491
,he,hadnt,1,1.931807205640877e-05
,he,heard,1,1.931807205640877e-05
,he,hesitated,1,1.931807205640877e-05
,he,hurried,1,1.931807205640877e-05
,he,informed,1,1.931807205640877e-05
,he,inquired,6,0.00011590843233845262
,he,insisted,3,5.795421616922631e-05
,he,interrupted,1,1.931807205640877e-05
,he,jumped,1,1.931807205640877e-05
,he,kept,1,1.931807205640877e-05
,he,knew,3,5.795421616922631e-05
,he,lifted,1,1.931807205640877e-05
,he,literally,1,1.931807205640877e-05
,he,looked,5,9.659036028204386e-05
,he,lookedand,1,1.931807205640877e-05
,he,might,1,1.931807205640877e-05
,he,must,4,7.727228822563508e-05
,he,muttered,1,1.931807205640877e-05
,he,never,1,1.931807205640877e-05
,he,nodded,1,1.931807205640877e-05
,he,objected,1,1.931807205640877e-05
,he,opened,1,1.931807205640877e-05
,he,owned,1,1.931807205640877e-05
,he,passed,1,1.931807205640877e-05
,he,paused,1,1.931807205640877e-05
,he,pointed,1,1.931807205640877e-05
,he,put,1,1.931807205640877e-05
,he,raised,1,1.931807205640877e-05
,he,ran,1,1.931807205640877e-05
,he,reads,1,1.931807205640877e-05
,he,remarked,3,5.795421616922631e-05
,he,repeated,2,3.863614411281754e-05
,he,rested,1,1.931807205640877e-05
,he,rose,1,1.931807205640877e-05
,he,said,48,0.000927267458707621
,he,saidbut,1,1.931807205640877e-05
,he,says,1,1.931807205640877e-05
,he,seemed,1,1.931807205640877e-05
,he,sends,1,1.931807205640877e-05
,he,shut,1,1.931807205640877e-05
,he,smiled,1,1.931807205640877e-05
,he,smiledand,1,1.931807205640877e-05
,he,snapped,1,1.931807205640877e-05
,he,sounded,1,1.931807205640877e-05
,he,started,2,3.863614411281754e-05
,he,stayed,1,1.931807205640877e-05
,he,stopped,1,1.931807205640877e-05
,he,stretched,1,1.931807205640877e-05
,he,suggested,5,9.659036028204386e-05
,he,supposed,1,1.931807205640877e-05
,he,thinks,1,1.931807205640877e-05
,he,thought,1,1.931807205640877e-05
,he,threw,1,1.931807205640877e-05
,he,told,4,7.727228822563508e-05
,he,took,3,5.795421616922631e-05
,he,turned,4,7.727228822563508e-05
,he,urged,1,1.931807205640877e-05
,he,used,2,3.863614411281754e-05
,he,waited,1,1.931807205640877e-05
,he,walked,2,3.863614411281754e-05
,he,wanted,1,1.931807205640877e-05
,he,was,21,0.00040567951318458417
,he,watched,1,1.931807205640877e-05
,he,wears,1,1.931807205640877e-05
,he,went,4,7.727228822563508e-05
,he,whimpered,1,1.931807205640877e-05
,he,winced,1,1.931807205640877e-05
,he,wont,1,1.931807205640877e-05
,he,would,1,1.931807205640877e-05
,hed,of,1,1.931807205640877e-05
,her,<s>,1,1.931807205640877e-05
,her,expression,1,1.931807205640877e-05
,her,eyebrows,1,1.931807205640877e-05
,her,eyes,1,1.931807205640877e-05
,her,face,3,5.795421616922631e-05
,her,grey,1,1.931807205640877e-05
,her,hand,1,1.931807205640877e-05
,her,husband,1,1.931807205640877e-05
,her,laughter,1,1.931807205640877e-05
,her,porch,1,1.931807205640877e-05
,her,throat,1,1.931807205640877e-05
,her,voice,2,3.863614411281754e-05
,her,wan,1,1.931807205640877e-05
,heres,a,1,1.931807205640877e-05
,heres,your,1,1.931807205640877e-05
,hes,a,1,1.931807205640877e-05
,hes,not,1,1.931807205640877e-05
,hes,quite,1,1.931807205640877e-05
,hes,singing,1,1.931807205640877e-05
,hes,so,1,1.931807205640877e-05
,hes,the,1,1.931807205640877e-05
,high,in,1,1.931807205640877e-05
,his,<s>,4,7.727228822563508e-05
,his,brown,1,1.931807205640877e-05
,his,children,1,1.931807205640877e-05
,his,correctness,1,1.931807205640877e-05
,his,count,1,1.931807205640877e-05
,his,eyes,5,9.659036028204386e-05
,his,family,1,1.931807205640877e-05
,his,gorgeous,1,1.931807205640877e-05
,his,hand,2,3.863614411281754e-05
,his,head,1,1.931807205640877e-05
,his,life,1,1.931807205640877e-05
,his,lips,1,1.931807205640877e-05
,his,mouth,2,3.863614411281754e-05
,his,name,2,3.863614411281754e-05
,his,nostrils,1,1.931807205640877e-05
,his,pride,1,1.931807205640877e-05
,his,right,1,1.931807205640877e-05
,his,tanned,1,1.931807205640877e-05
,his,temper,1,1.931807205640877e-05
,his,wife,1,1.931807205640877e-05
,hot,<s>,2,3.863614411281754e-05
,how,about,1,1.931807205640877e-05
,how,i,1,1.931807205640877e-05
,how,long,2,3.863614411281754e-05
,how,much,1,1.931807205640877e-05
,how,the,1,1.931807205640877e-05
,how,you,1,1.931807205640877e-05
,howd,you,1,1.931807205640877e-05
,however,,1,1.931807205640877e-05
,however,as,1,1.931807205640877e-05
,however,glorious,1,1.931807205640877e-05
,however,that,1,1.931807205640877e-05
,hows,business,1,1.931807205640877e-05
,human,sympathy,1,1.931807205640877e-05
,i,<s>,22,0.00042499758524099297
,i,accepted,1,1.931807205640877e-05
,i,agreed,1,1.931807205640877e-05
,i,almost,1,1.931807205640877e-05
,i,always,1,1.931807205640877e-05
,i,am,6,0.00011590843233845262
,i,answered,3,5.795421616922631e-05
,i,asked,6,0.00011590843233845262
,i,assured,1,1.931807205640877e-05
,i,beg,1,1.931807205640877e-05
,i,bought,2,3.863614411281754e-05
,i,broke,1,1.931807205640877e-05
,i,called,2,3.863614411281754e-05
,i,came,1,1.931807205640877e-05
,i,cannot,1,1.931807205640877e-05
,i,cant,9,0.00017386264850767892
,i,confessed,1,1.931807205640877e-05
,i,could,1,1.931807205640877e-05
,i,couldnt,4,7.727228822563508e-05
,i,demanded,1,1.931807205640877e-05
,i,did,1,1.931807205640877e-05
,i,didnt,4,7.727228822563508e-05
,i,dont,13,0.000251134936733314
,i,donthardly,1,1.931807205640877e-05
,i,doubted,1,1.931807205640877e-05
,i,drove,1,1.931807205640877e-05
,i,enjoyed,2,3.863614411281754e-05
,i,even,1,1.931807205640877e-05
,i,exclaimed,2,3.863614411281754e-05
,i,found,2,3.863614411281754e-05
,i,glanced,1,1.931807205640877e-05
,i,got,3,5.795421616922631e-05
,i,graduated,1,1.931807205640877e-05
,i,guess,1,1.931807205640877e-05
,i,had,9,0.00017386264850767892
,i,hadnt,2,3.863614411281754e-05
,i,happen,1,1.931807205640877e-05
,i,happened,1,1.931807205640877e-05
,i,hardly,1,1.931807205640877e-05
,i,hate,1,1.931807205640877e-05
,i,have,3,5.795421616922631e-05
,i,havent,4,7.727228822563508e-05
,i,helped,1,1.931807205640877e-05
,i,hesitated,1,1.931807205640877e-05
,i,hurt,1,1.931807205640877e-05
,i,imagined,1,1.931807205640877e-05
,i,inquired,12,0.00023181686467690525
,i,inspected,1,1.931807205640877e-05
,i,interrupted,2,3.863614411281754e-05
,i,just,5,9.659036028204386e-05
,i,keep,1,1.931807205640877e-05
,i,knew,5,9.659036028204386e-05
,i,know,4,7.727228822563508e-05
,i,liked,2,3.863614411281754e-05
,i,live,1,1.931807205640877e-05
,i,looked,3,5.795421616922631e-05
,i,love,2,3.863614411281754e-05
,i,made,2,3.863614411281754e-05
,i,mean,1,1.931807205640877e-05
,i,met,1,1.931807205640877e-05
,i,must,2,3.863614411281754e-05
,i,never,3,5.795421616922631e-05
,i,noticed,1,1.931807205640877e-05
,i,offered,1,1.931807205640877e-05
,i,ought,1,1.931807205640877e-05
,i,picked,1,1.931807205640877e-05
,i,protested,1,1.931807205640877e-05
,i,read,1,1.931807205640877e-05
,i,remarked,2,3.863614411281754e-05
,i,remember,3,5.795421616922631e-05
,i,remembered,1,1.931807205640877e-05
,i,repeated,2,3.863614411281754e-05
,i,roared,1,1.931807205640877e-05
,i,rushed,1,1.931807205640877e-05
,i,said,25,0.00048295180141021924
,i,sat,1,1.931807205640877e-05
,i,saw,6,0.00011590843233845262
,i,see,3,5.795421616922631e-05
,i,shouted,1,1.931807205640877e-05
,i,stared,1,1.931807205640877e-05
,i,started,2,3.863614411281754e-05
,i,suppose,2,3.863614411281754e-05
,i,supposed,1,1.931807205640877e-05
,i,tell,1,1.931807205640877e-05
,i,think,10,0.00019318072056408772
,i,thought,6,0.00011590843233845262
,i,told,5,9.659036028204386e-05
,i,took,1,1.931807205640877e-05
,i,turned,1,1.931807205640877e-05
,i,urged,1,1.931807205640877e-05
,i,used,2,3.863614411281754e-05
,i,ventured,1,1.931807205640877e-05
,i,waited,3,5.795421616922631e-05
,i,want,7,0.0001352265043948614
,i,wanted,2,3.863614411281754e-05
,i,warned,1,1.931807205640877e-05
,i,was,24,0.0004636337293538105
,i,wasnt,3,5.795421616922631e-05
,i,went,3,5.795421616922631e-05
,i,will,1,1.931807205640877e-05
,i,woke,1,1.931807205640877e-05
,i,wonder,2,3.863614411281754e-05
,i,wondered,1,1.931807205640877e-05
,i,would,1,1.931807205640877e-05
,i,wouldnt,4,7.727228822563508e-05
,id,be,2,3.863614411281754e-05
,id,been,1,1.931807205640877e-05
,id,had,1,1.931807205640877e-05
,id,hate,1,1.931807205640877e-05
,id,like,3,5.795421616922631e-05
,id,love,1,1.931807205640877e-05
,id,never,3,5.795421616922631e-05
,if,chester,1,1.931807205640877e-05
,if,he,1,1.931807205640877e-05
,if,i,1,1.931807205640877e-05
,if,its,1,1.931807205640877e-05
,if,personality,1,1.931807205640877e-05
,if,she,1,1.931807205640877e-05
,if,that,1,1.931807205640877e-05
,if,there,1,1.931807205640877e-05
,if,we,1,1.931807205640877e-05
,if,you,2,3.863614411281754e-05
,if,youre,1,1.931807205640877e-05
,ill,be,1,1.931807205640877e-05
,ill,bet,1,1.931807205640877e-05
,ill,get,1,1.931807205640877e-05
,ill,give,1,1.931807205640877e-05
,ill,have,2,3.863614411281754e-05
,ill,say,1,1.931807205640877e-05
,ill,see,2,3.863614411281754e-05
,ill,send,1,1.931807205640877e-05
,ill,take,1,1.931807205640877e-05
,ill,telephone,1,1.931807205640877e-05
,ill,wait,1,1.931807205640877e-05
,im,<s>,2,3.863614411281754e-05
,im,absolutely,1,1.931807205640877e-05
,im,afraid,2,3.863614411281754e-05
,im,all,3,5.795421616922631e-05
,im,at,1,1.931807205640877e-05
,im,five,1,1.931807205640877e-05
,im,glad,1,1.931807205640877e-05
,im,going,4,7.727228822563508e-05
,im,having,1,1.931807205640877e-05
,im,just,1,1.931807205640877e-05
,im,much,1,1.931807205640877e-05
,im,one,1,1.931807205640877e-05
,im,sorry,1,1.931807205640877e-05
,im,surprised,1,1.931807205640877e-05
,im,too,1,1.931807205640877e-05
,im,under,1,1.931807205640877e-05
,imagining,<s>,1,1.931807205640877e-05
,in,<s>,2,3.863614411281754e-05
,in,a,6,0.00011590843233845262
,in,case,1,1.931807205640877e-05
,in,consequence,1,1.931807205640877e-05
,in,fact,3,5.795421616922631e-05
,in,june,1,1.931807205640877e-05
