line_num,line_str,chap_num
228,"the beach and ran towards the front door for a quarter of a mile,",1
229,jumping over sundials and brick walks and burning gardens—finally when,1
230,it reached the house drifting up the side in bright vines as though,1
231,from the momentum of its run. The front was broken by a line of French,1
232,"windows, glowing now with reflected gold and wide open to the warm",1
233,"windy afternoon, and Tom Buchanan in riding clothes was standing with",1
234,his legs apart on the front porch.,1
236,He had changed since his New Haven years. Now he was a sturdy,1
237,"straw-haired man of thirty, with a rather hard mouth and a",1
238,supercilious manner. Two shining arrogant eyes had established,1
239,dominance over his face and gave him the appearance of always leaning,1
240,aggressively forward. Not even the effeminate swank of his riding,1
241,clothes could hide the enormous power of that body—he seemed to fill,1
242,"those glistening boots until he strained the top lacing, and you could",1
243,see a great pack of muscle shifting when his shoulder moved under his,1
244,thin coat. It was a body capable of enormous leverage—a cruel body.,1
246,"His speaking voice, a gruff husky tenor, added to the impression of",1
247,fractiousness he conveyed. There was a touch of paternal contempt in,1
248,"it, even toward people he liked—and there were men at New Haven who",1
249,had hated his guts.,1
251,"“Now, don’t think my opinion on these matters is final,” he seemed to",1
252,"say, “just because I’m stronger and more of a man than you are.” We",1
253,"were in the same senior society, and while we were never intimate I",1
254,always had the impression that he approved of me and wanted me to like,1
255,"him with some harsh, defiant wistfulness of his own.",1
257,We talked for a few minutes on the sunny porch.,1
259,"“I’ve got a nice place here,” he said, his eyes flashing about",1
260,restlessly.,1
262,"Turning me around by one arm, he moved a broad flat hand along the",1
263,"front vista, including in its sweep a sunken Italian garden, a half",1
264,"acre of deep, pungent roses, and a snub-nosed motorboat that bumped",1
265,the tide offshore.,1
267,"“It belonged to Demaine, the oil man.” He turned me around again,",1
268,politely and abruptly. “We’ll go inside.”,1
270,"We walked through a high hallway into a bright rosy-coloured space,",1
271,fragilely bound into the house by French windows at either end. The,1
272,windows were ajar and gleaming white against the fresh grass outside,1
273,that seemed to grow a little way into the house. A breeze blew through,1
274,"the room, blew curtains in at one end and out the other like pale",1
275,"flags, twisting them up toward the frosted wedding-cake of the",1
276,"ceiling, and then rippled over the wine-coloured rug, making a shadow",1
277,on it as wind does on the sea.,1
279,The only completely stationary object in the room was an enormous,1
280,couch on which two young women were buoyed up as though upon an,1
281,"anchored balloon. They were both in white, and their dresses were",1
282,rippling and fluttering as if they had just been blown back in after a,1
283,short flight around the house. I must have stood for a few moments,1
284,listening to the whip and snap of the curtains and the groan of a,1
285,picture on the wall. Then there was a boom as Tom Buchanan shut the,1
286,"rear windows and the caught wind died out about the room, and the",1
287,curtains and the rugs and the two young women ballooned slowly to the,1
288,floor.,1
290,The younger of the two was a stranger to me. She was extended full,1
291,"length at her end of the divan, completely motionless, and with her",1
292,"chin raised a little, as if she were balancing something on it which",1
293,was quite likely to fall. If she saw me out of the corner of her eyes,1
294,"she gave no hint of it—indeed, I was almost surprised into murmuring",1
295,an apology for having disturbed her by coming in.,1
297,"The other girl, Daisy, made an attempt to rise—she leaned slightly",1
298,"forward with a conscientious expression—then she laughed, an absurd,",1
299,"charming little laugh, and I laughed too and came forward into the",1
300,room.,1
302,“I’m p-paralysed with happiness.”,1
304,"She laughed again, as if she said something very witty, and held my",1
305,"hand for a moment, looking up into my face, promising that there was",1
306,no one in the world she so much wanted to see. That was a way she,1
307,had. She hinted in a murmur that the surname of the balancing girl was,1
308,Baker. (I’ve heard it said that Daisy’s murmur was only to make people,1
309,lean toward her; an irrelevant criticism that made it no less,1
310,charming.),1
312,"At any rate, Miss Baker’s lips fluttered, she nodded at me almost",1
313,"imperceptibly, and then quickly tipped her head back again—the object",1
314,she was balancing had obviously tottered a little and given her,1
315,something of a fright. Again a sort of apology arose to my lips.,1
316,Almost any exhibition of complete self-sufficiency draws a stunned,1
317,tribute from me.,1
319,"I looked back at my cousin, who began to ask me questions in her low,",1
320,thrilling voice. It was the kind of voice that the ear follows up and,1
321,"down, as if each speech is an arrangement of notes that will never be",1
322,"played again. Her face was sad and lovely with bright things in it,",1
323,"bright eyes and a bright passionate mouth, but there was an excitement",1
324,in her voice that men who had cared for her found difficult to forget:,1
325,"a singing compulsion, a whispered “Listen,” a promise that she had",1
326,"done gay, exciting things just a while since and that there were gay,",1
327,exciting things hovering in the next hour.,1
329,"I told her how I had stopped off in Chicago for a day on my way East,",1
330,and how a dozen people had sent their love through me.,1
332,“Do they miss me?” she cried ecstatically.,1
334,“The whole town is desolate. All the cars have the left rear wheel,1
335,"painted black as a mourning wreath, and there’s a persistent wail all",1
336,night along the north shore.”,1
338,"“How gorgeous! Let’s go back, Tom. Tomorrow!” Then she added",1
339,irrelevantly: “You ought to see the baby.”,1
341,“I’d like to.”,1
343,“She’s asleep. She’s three years old. Haven’t you ever seen her?”,1
345,“Never.”,1
347,"“Well, you ought to see her. She’s—”",1
349,"Tom Buchanan, who had been hovering restlessly about the room, stopped",1
350,and rested his hand on my shoulder.,1
352,"“What you doing, Nick?”",1
354,“I’m a bond man.”,1
356,“Who with?”,1
358,I told him.,1
360,"“Never heard of them,” he remarked decisively.",1
362,This annoyed me.,1
364,"“You will,” I answered shortly. “You will if you stay in the East.”",1
366,"“Oh, I’ll stay in the East, don’t you worry,” he said, glancing at",1
367,"Daisy and then back at me, as if he were alert for something",1
368,more. “I’d be a God damned fool to live anywhere else.”,1
370,At this point Miss Baker said: “Absolutely!” with such suddenness that,1
371,I started—it was the first word she had uttered since I came into the,1
372,"room. Evidently it surprised her as much as it did me, for she yawned",1
373,"and with a series of rapid, deft movements stood up into the room.",1
375,"“I’m stiff,” she complained, “I’ve been lying on that sofa for as long",1
376,as I can remember.”,1
378,"“Don’t look at me,” Daisy retorted, “I’ve been trying to get you to",1
379,New York all afternoon.”,1
381,"“No, thanks,” said Miss Baker to the four cocktails just in from the",1
382,pantry. “I’m absolutely in training.”,1
384,Her host looked at her incredulously.,1
386,“You are!” He took down his drink as if it were a drop in the bottom,1
387,of a glass. “How you ever get anything done is beyond me.”,1
389,"I looked at Miss Baker, wondering what it was she “got done.” I",1
390,"enjoyed looking at her. She was a slender, small-breasted girl, with",1
391,"an erect carriage, which she accentuated by throwing her body backward",1
392,at the shoulders like a young cadet. Her grey sun-strained eyes looked,1
393,"back at me with polite reciprocal curiosity out of a wan, charming,",1
394,"discontented face. It occurred to me now that I had seen her, or a",1
395,"picture of her, somewhere before.",1
397,"“You live in West Egg,” she remarked contemptuously. “I know somebody",1
398,there.”,1
400,“I don’t know a single—”,1
402,“You must know Gatsby.”,1
404,“Gatsby?” demanded Daisy. “What Gatsby?”,1
406,Before I could reply that he was my neighbour dinner was announced;,1
407,"wedging his tense arm imperatively under mine, Tom Buchanan compelled",1
408,me from the room as though he were moving a checker to another square.,1
410,"Slenderly, languidly, their hands set lightly on their hips, the two",1
411,"young women preceded us out on to a rosy-coloured porch, open toward",1
412,"the sunset, where four candles flickered on the table in the",1
413,diminished wind.,1
415,"“Why candles?” objected Daisy, frowning. She snapped them out with her",1
416,fingers. “In two weeks it’ll be the longest day in the year.” She,1
417,looked at us all radiantly. “Do you always watch for the longest day,1
418,of the year and then miss it? I always watch for the longest day in,1
419,the year and then miss it.”,1
421,"“We ought to plan something,” yawned Miss Baker, sitting down at the",1
422,table as if she were getting into bed.,1
424,"“All right,” said Daisy. “What’ll we plan?” She turned to me",1
425,helplessly: “What do people plan?”,1
427,Before I could answer her eyes fastened with an awed expression on her,1
428,little finger.,1
430,“Look!” she complained; “I hurt it.”,1
432,We all looked—the knuckle was black and blue.,1
434,"“You did it, Tom,” she said accusingly. “I know you didn’t mean to,",1
435,"but you did do it. That’s what I get for marrying a brute of a man, a",1
436,"great, big, hulking physical specimen of a—”",1
438,"“I hate that word ‘hulking,’ ” objected Tom crossly, “even in",1
439,kidding.”,1
441,"“Hulking,” insisted Daisy.",1
443,"Sometimes she and Miss Baker talked at once, unobtrusively and with a",1
444,"bantering inconsequence that was never quite chatter, that was as cool",1
445,as their white dresses and their impersonal eyes in the absence of all,1
446,"desire. They were here, and they accepted Tom and me, making only a",1
447,polite pleasant effort to entertain or to be entertained. They knew,1
448,that presently dinner would be over and a little later the evening too,1
449,would be over and casually put away. It was sharply different from the,1
450,"West, where an evening was hurried from phase to phase towards its",1
451,"close, in a continually disappointed anticipation or else in sheer",1
452,nervous dread of the moment itself.,1
454,"“You make me feel uncivilized, Daisy,” I confessed on my second glass",1
455,of corky but rather impressive claret. “Can’t you talk about crops or,1
456,something?”,1
458,"I meant nothing in particular by this remark, but it was taken up in",1
459,an unexpected way.,1
461,"“Civilization’s going to pieces,” broke out Tom violently. “I’ve",1
462,gotten to be a terrible pessimist about things. Have you read The Rise,1
463,of the Coloured Empires by this man Goddard?”,1
465,"“Why, no,” I answered, rather surprised by his tone.",1
467,"“Well, it’s a fine book, and everybody ought to read it. The idea is",1
468,if we don’t look out the white race will be—will be utterly,1
469,submerged. It’s all scientific stuff; it’s been proved.”,1
471,"“Tom’s getting very profound,” said Daisy, with an expression of",1
472,unthoughtful sadness. “He reads deep books with long words in,1
473,them. What was that word we—”,1
475,"“Well, these books are all scientific,” insisted Tom, glancing at her",1
476,impatiently. “This fellow has worked out the whole thing. It’s up to,1
477,"us, who are the dominant race, to watch out or these other races will",1
478,have control of things.”,1
480,"“We’ve got to beat them down,” whispered Daisy, winking ferociously",1
481,toward the fervent sun.,1
483,"“You ought to live in California—” began Miss Baker, but Tom",1
484,interrupted her by shifting heavily in his chair.,1
486,"“This idea is that we’re Nordics. I am, and you are, and you are,",1
487,and—” After an infinitesimal hesitation he included Daisy with a,1
488,"slight nod, and she winked at me again. “—And we’ve produced all the",1
489,"things that go to make civilization—oh, science and art, and all",1
490,that. Do you see?”,1
492,"There was something pathetic in his concentration, as if his",1
493,"complacency, more acute than of old, was not enough to him any more.",1
494,"When, almost immediately, the telephone rang inside and the butler",1
495,left the porch Daisy seized upon the momentary interruption and leaned,1
496,towards me.,1
498,"“I’ll tell you a family secret,” she whispered enthusiastically.",1
499,“It’s about the butler’s nose. Do you want to hear about the butler’s,1
500,nose?”,1
502,“That’s why I came over tonight.”,1
504,"“Well, he wasn’t always a butler; he used to be the silver polisher",1
505,for some people in New York that had a silver service for two hundred,1
506,"people. He had to polish it from morning till night, until finally it",1
507,began to affect his nose—”,1
509,"“Things went from bad to worse,” suggested Miss Baker.",1
511,"“Yes. Things went from bad to worse, until finally he had to give up",1
512,his position.”,1
514,For a moment the last sunshine fell with romantic affection upon her,1
515,glowing face; her voice compelled me forward breathlessly as I,1
516,"listened—then the glow faded, each light deserting her with lingering",1
517,"regret, like children leaving a pleasant street at dusk.",1
519,"The butler came back and murmured something close to Tom’s ear,",1
520,"whereupon Tom frowned, pushed back his chair, and without a word went",1
521,"inside. As if his absence quickened something within her, Daisy leaned",1
522,"forward again, her voice glowing and singing.",1
524,"“I love to see you at my table, Nick. You remind me of a—of a rose, an",1
525,absolute rose. Doesn’t he?” She turned to Miss Baker for confirmation:,1
526,“An absolute rose?”,1
528,This was untrue. I am not even faintly like a rose. She was only,1
529,"extemporizing, but a stirring warmth flowed from her, as if her heart",1
530,"was trying to come out to you concealed in one of those breathless,",1
531,thrilling words. Then suddenly she threw her napkin on the table and,1
532,excused herself and went into the house.,1
534,Miss Baker and I exchanged a short glance consciously devoid of,1
535,meaning. I was about to speak when she sat up alertly and said “Sh!”,1
536,in a warning voice. A subdued impassioned murmur was audible in the,1
537,"room beyond, and Miss Baker leaned forward unashamed, trying to",1
538,"hear. The murmur trembled on the verge of coherence, sank down,",1
539,"mounted excitedly, and then ceased altogether.",1
541,“This Mr. Gatsby you spoke of is my neighbour—” I began.,1
543,“Don’t talk. I want to hear what happens.”,1
545,“Is something happening?” I inquired innocently.,1
547,"“You mean to say you don’t know?” said Miss Baker, honestly surprised.",1
548,“I thought everybody knew.”,1
550,“I don’t.”,1
552,“Why—” she said hesitantly. “Tom’s got some woman in New York.”,1
554,“Got some woman?” I repeated blankly.,1
556,Miss Baker nodded.,1
558,“She might have the decency not to telephone him at dinner time.,1
559,Don’t you think?”,1
561,Almost before I had grasped her meaning there was the flutter of a,1
562,"dress and the crunch of leather boots, and Tom and Daisy were back at",1
563,the table.,1
565,“It couldn’t be helped!” cried Daisy with tense gaiety.,1
567,"She sat down, glanced searchingly at Miss Baker and then at me, and",1
568,"continued: “I looked outdoors for a minute, and it’s very romantic",1
569,outdoors. There’s a bird on the lawn that I think must be a,1
570,nightingale come over on the Cunard or White Star Line. He’s singing,1
571,"away—” Her voice sang: “It’s romantic, isn’t it, Tom?”",1
573,"“Very romantic,” he said, and then miserably to me: “If it’s light",1
574,"enough after dinner, I want to take you down to the stables.”",1
576,"The telephone rang inside, startlingly, and as Daisy shook her head",1
577,"decisively at Tom the subject of the stables, in fact all subjects,",1
578,vanished into air. Among the broken fragments of the last five minutes,1
579,"at table I remember the candles being lit again, pointlessly, and I",1
580,"was conscious of wanting to look squarely at everyone, and yet to",1
581,"avoid all eyes. I couldn’t guess what Daisy and Tom were thinking, but",1
582,"I doubt if even Miss Baker, who seemed to have mastered a certain",1
583,"hardy scepticism, was able utterly to put this fifth guest’s shrill",1
584,metallic urgency out of mind. To a certain temperament the situation,1
585,might have seemed intriguing—my own instinct was to telephone,1
586,immediately for the police.,1
588,"The horses, needless to say, were not mentioned again. Tom and Miss",1
589,"Baker, with several feet of twilight between them, strolled back into",1
590,"the library, as if to a vigil beside a perfectly tangible body, while,",1
591,"trying to look pleasantly interested and a little deaf, I followed",1
592,Daisy around a chain of connecting verandas to the porch in front. In,1
593,its deep gloom we sat down side by side on a wicker settee.,1
595,"Daisy took her face in her hands as if feeling its lovely shape, and",1
596,her eyes moved gradually out into the velvet dusk. I saw that,1
597,"turbulent emotions possessed her, so I asked what I thought would be",1
598,some sedative questions about her little girl.,1
600,"“We don’t know each other very well, Nick,” she said suddenly. “Even",1
601,if we are cousins. You didn’t come to my wedding.”,1
603,“I wasn’t back from the war.”,1
605,"“That’s true.” She hesitated. “Well, I’ve had a very bad time, Nick,",1
606,and I’m pretty cynical about everything.”,1
608,"Evidently she had reason to be. I waited but she didn’t say any more,",1
609,and after a moment I returned rather feebly to the subject of her,1
610,daughter.,1
612,"“I suppose she talks, and—eats, and everything.”",1
614,"“Oh, yes.” She looked at me absently. “Listen, Nick; let me tell you",1
615,what I said when she was born. Would you like to hear?”,1
617,“Very much.”,1
619,"“It’ll show you how I’ve gotten to feel about—things. Well, she was",1
620,less than an hour old and Tom was God knows where. I woke up out of,1
621,"the ether with an utterly abandoned feeling, and asked the nurse right",1
622,"away if it was a boy or a girl. She told me it was a girl, and so I",1
623,"turned my head away and wept. ‘All right,’ I said, ‘I’m glad it’s a",1
624,girl. And I hope she’ll be a fool—that’s the best thing a girl can be,1
625,"in this world, a beautiful little fool.’",1
627,"“You see I think everything’s terrible anyhow,” she went on in a",1
628,convinced way. “Everybody thinks so—the most advanced people. And I,1
629,know. I’ve been everywhere and seen everything and done everything.”,1
630,"Her eyes flashed around her in a defiant way, rather like Tom’s, and",1
631,"she laughed with thrilling scorn. “Sophisticated—God, I’m",1
632,sophisticated!”,1
634,"The instant her voice broke off, ceasing to compel my attention, my",1
635,"belief, I felt the basic insincerity of what she had said. It made me",1
636,"uneasy, as though the whole evening had been a trick of some sort to",1
637,"exact a contributory emotion from me. I waited, and sure enough, in a",1
638,"moment she looked at me with an absolute smirk on her lovely face, as",1
639,if she had asserted her membership in a rather distinguished secret,1
640,society to which she and Tom belonged.,1
642,------------------------------------------------------------------------,1
644,"Inside, the crimson room bloomed with light. Tom and Miss Baker sat at",1
645,either end of the long couch and she read aloud to him from the,1
646,"Saturday Evening Post—the words, murmurous and uninflected, running",1
647,"together in a soothing tune. The lamplight, bright on his boots and",1
648,"dull on the autumn-leaf yellow of her hair, glinted along the paper as",1
649,she turned a page with a flutter of slender muscles in her arms.,1
651,When we came in she held us silent for a moment with a lifted hand.,1
653,"“To be continued,” she said, tossing the magazine on the table, “in",1
654,our very next issue.”,1
656,"Her body asserted itself with a restless movement of her knee, and she",1
657,stood up.,1
659,"“Ten o’clock,” she remarked, apparently finding the time on the",1
660,ceiling. “Time for this good girl to go to bed.”,1
662,"“Jordan’s going to play in the tournament tomorrow,” explained Daisy,",1
663,“over at Westchester.”,1
665,“Oh—you’re Jordan Baker.”,1
667,I knew now why her face was familiar—its pleasing contemptuous,1
668,expression had looked out at me from many rotogravure pictures of the,1
669,sporting life at Asheville and Hot Springs and Palm Beach. I had heard,1
670,"some story of her too, a critical, unpleasant story, but what it was I",1
671,had forgotten long ago.,1
673,"“Good night,” she said softly. “Wake me at eight, won’t you.”",1
675,“If you’ll get up.”,1
677,"“I will. Good night, Mr. Carraway. See you anon.”",1
679,"“Of course you will,” confirmed Daisy. “In fact I think I’ll arrange a",1
680,"marriage. Come over often, Nick, and I’ll sort of—oh—fling you",1
681,together. You know—lock you up accidentally in linen closets and push,1
682,"you out to sea in a boat, and all that sort of thing—”",1
684,"“Good night,” called Miss Baker from the stairs. “I haven’t heard a",1
685,word.”,1
687,"“She’s a nice girl,” said Tom after a moment. “They oughtn’t to let",1
688,her run around the country this way.”,1
690,“Who oughtn’t to?” inquired Daisy coldly.,1
692,“Her family.”,1
694,"“Her family is one aunt about a thousand years old. Besides, Nick’s",1
695,"going to look after her, aren’t you, Nick? She’s going to spend lots",1
696,of weekends out here this summer. I think the home influence will be,1
697,very good for her.”,1
699,Daisy and Tom looked at each other for a moment in silence.,1
701,“Is she from New York?” I asked quickly.,1
703,“From Louisville. Our white girlhood was passed together there. Our,1
704,beautiful white—”,1
706,“Did you give Nick a little heart to heart talk on the veranda?”,1
707,demanded Tom suddenly.,1
709,"“Did I?” She looked at me. “I can’t seem to remember, but I think we",1
710,"talked about the Nordic race. Yes, I’m sure we did. It sort of crept",1
711,up on us and first thing you know—”,1
713,"“Don’t believe everything you hear, Nick,” he advised me.",1
715,"I said lightly that I had heard nothing at all, and a few minutes",1
716,later I got up to go home. They came to the door with me and stood,1
717,side by side in a cheerful square of light. As I started my motor,1
718,Daisy peremptorily called: “Wait!”,1
720,"“I forgot to ask you something, and it’s important. We heard you were",1
721,engaged to a girl out West.”,1
723,"“That’s right,” corroborated Tom kindly. “We heard that you were",1
724,engaged.”,1
726,“It’s a libel. I’m too poor.”,1
728,"“But we heard it,” insisted Daisy, surprising me by opening up again",1
729,"in a flower-like way. “We heard it from three people, so it must be",1
730,true.”,1
732,"Of course I knew what they were referring to, but I wasn’t even",1
733,vaguely engaged. The fact that gossip had published the banns was one,1
734,of the reasons I had come East. You can’t stop going with an old,1
735,"friend on account of rumours, and on the other hand I had no intention",1
736,of being rumoured into marriage.,1
738,Their interest rather touched me and made them less remotely,1
739,"rich—nevertheless, I was confused and a little disgusted as I drove",1
740,away. It seemed to me that the thing for Daisy to do was to rush out,1
741,"of the house, child in arms—but apparently there were no such",1
742,"intentions in her head. As for Tom, the fact that he “had some woman",1
743,in New York” was really less surprising than that he had been,1
744,depressed by a book. Something was making him nibble at the edge of,1
745,stale ideas as if his sturdy physical egotism no longer nourished his,1
746,peremptory heart.,1
748,Already it was deep summer on roadhouse roofs and in front of wayside,1
749,"garages, where new red petrol-pumps sat out in pools of light, and",1
750,when I reached my estate at West Egg I ran the car under its shed and,1
751,sat for a while on an abandoned grass roller in the yard. The wind had,1
752,"blown off, leaving a loud, bright night, with wings beating in the",1
753,trees and a persistent organ sound as the full bellows of the earth,1
754,blew the frogs full of life. The silhouette of a moving cat wavered,1
755,"across the moonlight, and, turning my head to watch it, I saw that I",1
756,was not alone—fifty feet away a figure had emerged from the shadow of,1
757,my neighbour’s mansion and was standing with his hands in his pockets,1
758,regarding the silver pepper of the stars. Something in his leisurely,1
759,movements and the secure position of his feet upon the lawn suggested,1
760,"that it was Mr. Gatsby himself, come out to determine what share was",1
761,his of our local heavens.,1
763,"I decided to call to him. Miss Baker had mentioned him at dinner, and",1
764,"that would do for an introduction. But I didn’t call to him, for he",1
765,gave a sudden intimation that he was content to be alone—he stretched,1
766,"out his arms toward the dark water in a curious way, and, far as I was",1
767,"from him, I could have sworn he was trembling. Involuntarily I glanced",1
