chap_num,para_num,para_str,book_id
1,32,"successful gestures, then there was something gorgeous about him, some",Great Gatsby
1,33,"heightened sensitivity to the promises of life, as if he were related",Great Gatsby
1,34,to one of those intricate machines that register earthquakes ten,Great Gatsby
1,35,thousand miles away. This responsiveness had nothing to do with that,Great Gatsby
1,36,flabby impressionability which is dignified under the name of the,Great Gatsby
1,37,"“creative temperament”—it was an extraordinary gift for hope, a",Great Gatsby
1,38,romantic readiness such as I have never found in any other person and,Great Gatsby
1,39,which it is not likely I shall ever find again. No—Gatsby turned out,Great Gatsby
1,40,"all right at the end; it is what preyed on Gatsby, what foul dust",Great Gatsby
1,41,floated in the wake of his dreams that temporarily closed out my,Great Gatsby
1,42,interest in the abortive sorrows and short-winded elations of men.,Great Gatsby
1,43,------------------------------------------------------------------------,Great Gatsby
1,44,"My family have been prominent, well-to-do people in this Middle",Great Gatsby
1,45,Western city for three generations. The Carraways are something of a,Great Gatsby
1,46,"clan, and we have a tradition that we’re descended from the Dukes of",Great Gatsby
1,47,"Buccleuch, but the actual founder of my line was my grandfather’s",Great Gatsby
1,48,"brother, who came here in fifty-one, sent a substitute to the Civil",Great Gatsby
1,49,"War, and started the wholesale hardware business that my father",Great Gatsby
1,50,carries on today.,Great Gatsby
1,51,"I never saw this great-uncle, but I’m supposed to look like him—with",Great Gatsby
1,52,special reference to the rather hard-boiled painting that hangs in,Great Gatsby
1,53,"father’s office. I graduated from New Haven in 1915, just a quarter of",Great Gatsby
1,54,"a century after my father, and a little later I participated in that",Great Gatsby
1,55,delayed Teutonic migration known as the Great War. I enjoyed the,Great Gatsby
1,56,counter-raid so thoroughly that I came back restless. Instead of being,Great Gatsby
1,57,"the warm centre of the world, the Middle West now seemed like the",Great Gatsby
1,58,ragged edge of the universe—so I decided to go East and learn the bond,Great Gatsby
1,59,"business. Everybody I knew was in the bond business, so I supposed it",Great Gatsby
1,60,could support one more single man. All my aunts and uncles talked it,Great Gatsby
1,61,"over as if they were choosing a prep school for me, and finally said,",Great Gatsby
1,62,"“Why—ye-es,” with very grave, hesitant faces. Father agreed to finance",Great Gatsby
1,63,"me for a year, and after various delays I came East, permanently, I",Great Gatsby
1,64,"thought, in the spring of twenty-two.",Great Gatsby
1,65,"The practical thing was to find rooms in the city, but it was a warm",Great Gatsby
1,66,"season, and I had just left a country of wide lawns and friendly",Great Gatsby
1,67,"trees, so when a young man at the office suggested that we take a",Great Gatsby
1,68,"house together in a commuting town, it sounded like a great idea. He",Great Gatsby
1,69,"found the house, a weather-beaten cardboard bungalow at eighty a",Great Gatsby
1,70,"month, but at the last minute the firm ordered him to Washington, and",Great Gatsby
1,71,I went out to the country alone. I had a dog—at least I had him for a,Great Gatsby
1,72,"few days until he ran away—and an old Dodge and a Finnish woman, who",Great Gatsby
1,73,made my bed and cooked breakfast and muttered Finnish wisdom to,Great Gatsby
1,74,herself over the electric stove.,Great Gatsby
1,75,"It was lonely for a day or so until one morning some man, more",Great Gatsby
1,76,"recently arrived than I, stopped me on the road.",Great Gatsby
1,77,“How do you get to West Egg village?” he asked helplessly.,Great Gatsby
1,78,"I told him. And as I walked on I was lonely no longer. I was a guide,",Great Gatsby
1,79,"a pathfinder, an original settler. He had casually conferred on me the",Great Gatsby
1,80,freedom of the neighbourhood.,Great Gatsby
1,81,And so with the sunshine and the great bursts of leaves growing on the,Great Gatsby
1,82,"trees, just as things grow in fast movies, I had that familiar",Great Gatsby
1,83,conviction that life was beginning over again with the summer.,Great Gatsby
1,84,"There was so much to read, for one thing, and so much fine health to",Great Gatsby
1,85,be pulled down out of the young breath-giving air. I bought a dozen,Great Gatsby
1,86,"volumes on banking and credit and investment securities, and they",Great Gatsby
1,87,"stood on my shelf in red and gold like new money from the mint,",Great Gatsby
1,88,promising to unfold the shining secrets that only Midas and Morgan and,Great Gatsby
1,89,Maecenas knew. And I had the high intention of reading many other,Great Gatsby
1,90,books besides. I was rather literary in college—one year I wrote a,Great Gatsby
1,91,series of very solemn and obvious editorials for the Yale News—and now,Great Gatsby
1,92,I was going to bring back all such things into my life and become,Great Gatsby
1,93,"again that most limited of all specialists, the “well-rounded man.”",Great Gatsby
1,94,This isn’t just an epigram—life is much more successfully looked at,Great Gatsby
1,95,"from a single window, after all.",Great Gatsby
1,96,It was a matter of chance that I should have rented a house in one of,Great Gatsby
1,97,the strangest communities in North America. It was on that slender,Great Gatsby
1,98,riotous island which extends itself due east of New York—and where,Great Gatsby
1,99,"there are, among other natural curiosities, two unusual formations of",Great Gatsby
1,100,"land. Twenty miles from the city a pair of enormous eggs, identical in",Great Gatsby
1,101,"contour and separated only by a courtesy bay, jut out into the most",Great Gatsby
1,102,"domesticated body of salt water in the Western hemisphere, the great",Great Gatsby
1,103,wet barnyard of Long Island Sound. They are not perfect ovals—like the,Great Gatsby
1,104,"egg in the Columbus story, they are both crushed flat at the contact",Great Gatsby
1,105,end—but their physical resemblance must be a source of perpetual,Great Gatsby
1,106,wonder to the gulls that fly overhead. To the wingless a more,Great Gatsby
1,107,interesting phenomenon is their dissimilarity in every particular,Great Gatsby
1,108,except shape and size.,Great Gatsby
1,109,"I lived at West Egg, the—well, the less fashionable of the two, though",Great Gatsby
1,110,this is a most superficial tag to express the bizarre and not a little,Great Gatsby
1,111,sinister contrast between them. My house was at the very tip of the,Great Gatsby
1,112,"egg, only fifty yards from the Sound, and squeezed between two huge",Great Gatsby
1,113,places that rented for twelve or fifteen thousand a season. The one on,Great Gatsby
1,114,my right was a colossal affair by any standard—it was a factual,Great Gatsby
1,115,"imitation of some Hôtel de Ville in Normandy, with a tower on one",Great Gatsby
1,116,"side, spanking new under a thin beard of raw ivy, and a marble",Great Gatsby
1,117,"swimming pool, and more than forty acres of lawn and garden. It was",Great Gatsby
1,118,"Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a",Great Gatsby
1,119,mansion inhabited by a gentleman of that name. My own house was an,Great Gatsby
1,120,"eyesore, but it was a small eyesore, and it had been overlooked, so I",Great Gatsby
1,121,"had a view of the water, a partial view of my neighbour’s lawn, and",Great Gatsby
1,122,the consoling proximity of millionaires—all for eighty dollars a,Great Gatsby
1,123,month.,Great Gatsby
1,124,Across the courtesy bay the white palaces of fashionable East Egg,Great Gatsby
1,125,"glittered along the water, and the history of the summer really begins",Great Gatsby
1,126,on the evening I drove over there to have dinner with the Tom,Great Gatsby
1,127,"Buchanans. Daisy was my second cousin once removed, and I’d known Tom",Great Gatsby
1,128,in college. And just after the war I spent two days with them in,Great Gatsby
1,129,Chicago.,Great Gatsby
1,130,"Her husband, among various physical accomplishments, had been one of",Great Gatsby
1,131,the most powerful ends that ever played football at New Haven—a,Great Gatsby
1,132,"national figure in a way, one of those men who reach such an acute",Great Gatsby
1,133,limited excellence at twenty-one that everything afterward savours of,Great Gatsby
1,134,anticlimax. His family were enormously wealthy—even in college his,Great Gatsby
1,135,freedom with money was a matter for reproach—but now he’d left Chicago,Great Gatsby
1,136,and come East in a fashion that rather took your breath away: for,Great Gatsby
1,137,"instance, he’d brought down a string of polo ponies from Lake",Great Gatsby
1,138,Forest. It was hard to realize that a man in my own generation was,Great Gatsby
1,139,wealthy enough to do that.,Great Gatsby
1,140,Why they came East I don’t know. They had spent a year in France for,Great Gatsby
1,141,"no particular reason, and then drifted here and there unrestfully",Great Gatsby
1,142,wherever people played polo and were rich together. This was a,Great Gatsby
1,143,"permanent move, said Daisy over the telephone, but I didn’t believe",Great Gatsby
1,144,"it—I had no sight into Daisy’s heart, but I felt that Tom would drift",Great Gatsby
1,145,"on forever seeking, a little wistfully, for the dramatic turbulence of",Great Gatsby
1,146,some irrecoverable football game.,Great Gatsby
1,147,And so it happened that on a warm windy evening I drove over to East,Great Gatsby
1,148,Egg to see two old friends whom I scarcely knew at all. Their house,Great Gatsby
1,149,"was even more elaborate than I expected, a cheerful red-and-white",Great Gatsby
1,150,"Georgian Colonial mansion, overlooking the bay. The lawn started at",Great Gatsby
1,151,"the beach and ran towards the front door for a quarter of a mile,",Great Gatsby
1,152,jumping over sundials and brick walks and burning gardens—finally when,Great Gatsby
1,153,it reached the house drifting up the side in bright vines as though,Great Gatsby
1,154,from the momentum of its run. The front was broken by a line of French,Great Gatsby
1,155,"windows, glowing now with reflected gold and wide open to the warm",Great Gatsby
1,156,"windy afternoon, and Tom Buchanan in riding clothes was standing with",Great Gatsby
1,157,his legs apart on the front porch.,Great Gatsby
1,158,He had changed since his New Haven years. Now he was a sturdy,Great Gatsby
1,159,"straw-haired man of thirty, with a rather hard mouth and a",Great Gatsby
1,160,supercilious manner. Two shining arrogant eyes had established,Great Gatsby
1,161,dominance over his face and gave him the appearance of always leaning,Great Gatsby
1,162,aggressively forward. Not even the effeminate swank of his riding,Great Gatsby
1,163,clothes could hide the enormous power of that body—he seemed to fill,Great Gatsby
1,164,"those glistening boots until he strained the top lacing, and you could",Great Gatsby
1,165,see a great pack of muscle shifting when his shoulder moved under his,Great Gatsby
1,166,thin coat. It was a body capable of enormous leverage—a cruel body.,Great Gatsby
1,167,"His speaking voice, a gruff husky tenor, added to the impression of",Great Gatsby
1,168,fractiousness he conveyed. There was a touch of paternal contempt in,Great Gatsby
1,169,"it, even toward people he liked—and there were men at New Haven who",Great Gatsby
1,170,had hated his guts.,Great Gatsby
1,171,"“Now, don’t think my opinion on these matters is final,” he seemed to",Great Gatsby
1,172,"say, “just because I’m stronger and more of a man than you are.” We",Great Gatsby
1,173,"were in the same senior society, and while we were never intimate I",Great Gatsby
1,174,always had the impression that he approved of me and wanted me to like,Great Gatsby
1,175,"him with some harsh, defiant wistfulness of his own.",Great Gatsby
1,176,We talked for a few minutes on the sunny porch.,Great Gatsby
1,177,"“I’ve got a nice place here,” he said, his eyes flashing about",Great Gatsby
1,178,restlessly.,Great Gatsby
1,179,"Turning me around by one arm, he moved a broad flat hand along the",Great Gatsby
1,180,"front vista, including in its sweep a sunken Italian garden, a half",Great Gatsby
1,181,"acre of deep, pungent roses, and a snub-nosed motorboat that bumped",Great Gatsby
1,182,the tide offshore.,Great Gatsby
1,183,"“It belonged to Demaine, the oil man.” He turned me around again,",Great Gatsby
1,184,politely and abruptly. “We’ll go inside.”,Great Gatsby
1,185,"We walked through a high hallway into a bright rosy-coloured space,",Great Gatsby
1,186,fragilely bound into the house by French windows at either end. The,Great Gatsby
1,187,windows were ajar and gleaming white against the fresh grass outside,Great Gatsby
1,188,that seemed to grow a little way into the house. A breeze blew through,Great Gatsby
1,189,"the room, blew curtains in at one end and out the other like pale",Great Gatsby
1,190,"flags, twisting them up toward the frosted wedding-cake of the",Great Gatsby
1,191,"ceiling, and then rippled over the wine-coloured rug, making a shadow",Great Gatsby
1,192,on it as wind does on the sea.,Great Gatsby
1,193,The only completely stationary object in the room was an enormous,Great Gatsby
1,194,couch on which two young women were buoyed up as though upon an,Great Gatsby
1,195,"anchored balloon. They were both in white, and their dresses were",Great Gatsby
1,196,rippling and fluttering as if they had just been blown back in after a,Great Gatsby
1,197,short flight around the house. I must have stood for a few moments,Great Gatsby
1,198,listening to the whip and snap of the curtains and the groan of a,Great Gatsby
1,199,picture on the wall. Then there was a boom as Tom Buchanan shut the,Great Gatsby
1,200,"rear windows and the caught wind died out about the room, and the",Great Gatsby
1,201,curtains and the rugs and the two young women ballooned slowly to the,Great Gatsby
1,202,floor.,Great Gatsby
1,203,The younger of the two was a stranger to me. She was extended full,Great Gatsby
1,204,"length at her end of the divan, completely motionless, and with her",Great Gatsby
1,205,"chin raised a little, as if she were balancing something on it which",Great Gatsby
1,206,was quite likely to fall. If she saw me out of the corner of her eyes,Great Gatsby
1,207,"she gave no hint of it—indeed, I was almost surprised into murmuring",Great Gatsby
1,208,an apology for having disturbed her by coming in.,Great Gatsby
1,209,"The other girl, Daisy, made an attempt to rise—she leaned slightly",Great Gatsby
1,210,"forward with a conscientious expression—then she laughed, an absurd,",Great Gatsby
1,211,"charming little laugh, and I laughed too and came forward into the",Great Gatsby
1,212,room.,Great Gatsby
1,213,“I’m p-paralysed with happiness.”,Great Gatsby
1,214,"She laughed again, as if she said something very witty, and held my",Great Gatsby
1,215,"hand for a moment, looking up into my face, promising that there was",Great Gatsby
1,216,no one in the world she so much wanted to see. That was a way she,Great Gatsby
1,217,had. She hinted in a murmur that the surname of the balancing girl was,Great Gatsby
1,218,Baker. (I’ve heard it said that Daisy’s murmur was only to make people,Great Gatsby
1,219,lean toward her; an irrelevant criticism that made it no less,Great Gatsby
1,220,charming.),Great Gatsby
1,221,"At any rate, Miss Baker’s lips fluttered, she nodded at me almost",Great Gatsby
1,222,"imperceptibly, and then quickly tipped her head back again—the object",Great Gatsby
1,223,she was balancing had obviously tottered a little and given her,Great Gatsby
1,224,something of a fright. Again a sort of apology arose to my lips.,Great Gatsby
1,225,Almost any exhibition of complete self-sufficiency draws a stunned,Great Gatsby
1,226,tribute from me.,Great Gatsby
1,227,"I looked back at my cousin, who began to ask me questions in her low,",Great Gatsby
1,228,thrilling voice. It was the kind of voice that the ear follows up and,Great Gatsby
1,229,"down, as if each speech is an arrangement of notes that will never be",Great Gatsby
1,230,"played again. Her face was sad and lovely with bright things in it,",Great Gatsby
1,231,"bright eyes and a bright passionate mouth, but there was an excitement",Great Gatsby
1,232,in her voice that men who had cared for her found difficult to forget:,Great Gatsby
1,233,"a singing compulsion, a whispered “Listen,” a promise that she had",Great Gatsby
1,234,"done gay, exciting things just a while since and that there were gay,",Great Gatsby
1,235,exciting things hovering in the next hour.,Great Gatsby
1,236,"I told her how I had stopped off in Chicago for a day on my way East,",Great Gatsby
1,237,and how a dozen people had sent their love through me.,Great Gatsby
1,238,“Do they miss me?” she cried ecstatically.,Great Gatsby
1,239,“The whole town is desolate. All the cars have the left rear wheel,Great Gatsby
1,240,"painted black as a mourning wreath, and there’s a persistent wail all",Great Gatsby
1,241,night along the north shore.”,Great Gatsby
1,242,"“How gorgeous! Let’s go back, Tom. Tomorrow!” Then she added",Great Gatsby
1,243,irrelevantly: “You ought to see the baby.”,Great Gatsby
1,244,“I’d like to.”,Great Gatsby
1,245,“She’s asleep. She’s three years old. Haven’t you ever seen her?”,Great Gatsby
1,246,“Never.”,Great Gatsby
1,247,"“Well, you ought to see her. She’s—”",Great Gatsby
1,248,"Tom Buchanan, who had been hovering restlessly about the room, stopped",Great Gatsby
1,249,and rested his hand on my shoulder.,Great Gatsby
1,250,"“What you doing, Nick?”",Great Gatsby
1,251,“I’m a bond man.”,Great Gatsby
1,252,“Who with?”,Great Gatsby
1,253,I told him.,Great Gatsby
1,254,"“Never heard of them,” he remarked decisively.",Great Gatsby
1,255,This annoyed me.,Great Gatsby
1,256,"“You will,” I answered shortly. “You will if you stay in the East.”",Great Gatsby
1,257,"“Oh, I’ll stay in the East, don’t you worry,” he said, glancing at",Great Gatsby
1,258,"Daisy and then back at me, as if he were alert for something",Great Gatsby
1,259,more. “I’d be a God damned fool to live anywhere else.”,Great Gatsby
1,260,At this point Miss Baker said: “Absolutely!” with such suddenness that,Great Gatsby
1,261,I started—it was the first word she had uttered since I came into the,Great Gatsby
1,262,"room. Evidently it surprised her as much as it did me, for she yawned",Great Gatsby
1,263,"and with a series of rapid, deft movements stood up into the room.",Great Gatsby
1,264,"“I’m stiff,” she complained, “I’ve been lying on that sofa for as long",Great Gatsby
1,265,as I can remember.”,Great Gatsby
1,266,"“Don’t look at me,” Daisy retorted, “I’ve been trying to get you to",Great Gatsby
1,267,New York all afternoon.”,Great Gatsby
1,268,"“No, thanks,” said Miss Baker to the four cocktails just in from the",Great Gatsby
1,269,pantry. “I’m absolutely in training.”,Great Gatsby
1,270,Her host looked at her incredulously.,Great Gatsby
1,271,“You are!” He took down his drink as if it were a drop in the bottom,Great Gatsby
1,272,of a glass. “How you ever get anything done is beyond me.”,Great Gatsby
1,273,"I looked at Miss Baker, wondering what it was she “got done.” I",Great Gatsby
1,274,"enjoyed looking at her. She was a slender, small-breasted girl, with",Great Gatsby
1,275,"an erect carriage, which she accentuated by throwing her body backward",Great Gatsby
1,276,at the shoulders like a young cadet. Her grey sun-strained eyes looked,Great Gatsby
1,277,"back at me with polite reciprocal curiosity out of a wan, charming,",Great Gatsby
1,278,"discontented face. It occurred to me now that I had seen her, or a",Great Gatsby
1,279,"picture of her, somewhere before.",Great Gatsby
1,280,"“You live in West Egg,” she remarked contemptuously. “I know somebody",Great Gatsby
1,281,there.”,Great Gatsby
1,282,“I don’t know a single—”,Great Gatsby
1,283,“You must know Gatsby.”,Great Gatsby
1,284,“Gatsby?” demanded Daisy. “What Gatsby?”,Great Gatsby
1,285,Before I could reply that he was my neighbour dinner was announced;,Great Gatsby
1,286,"wedging his tense arm imperatively under mine, Tom Buchanan compelled",Great Gatsby
1,287,me from the room as though he were moving a checker to another square.,Great Gatsby
1,288,"Slenderly, languidly, their hands set lightly on their hips, the two",Great Gatsby
1,289,"young women preceded us out on to a rosy-coloured porch, open toward",Great Gatsby
1,290,"the sunset, where four candles flickered on the table in the",Great Gatsby
1,291,diminished wind.,Great Gatsby
1,292,"“Why candles?” objected Daisy, frowning. She snapped them out with her",Great Gatsby
1,293,fingers. “In two weeks it’ll be the longest day in the year.” She,Great Gatsby
1,294,looked at us all radiantly. “Do you always watch for the longest day,Great Gatsby
1,295,of the year and then miss it? I always watch for the longest day in,Great Gatsby
1,296,the year and then miss it.”,Great Gatsby
1,297,"“We ought to plan something,” yawned Miss Baker, sitting down at the",Great Gatsby
1,298,table as if she were getting into bed.,Great Gatsby
1,299,"“All right,” said Daisy. “What’ll we plan?” She turned to me",Great Gatsby
1,300,helplessly: “What do people plan?”,Great Gatsby
1,301,Before I could answer her eyes fastened with an awed expression on her,Great Gatsby
1,302,little finger.,Great Gatsby
1,303,“Look!” she complained; “I hurt it.”,Great Gatsby
1,304,We all looked—the knuckle was black and blue.,Great Gatsby
1,305,"“You did it, Tom,” she said accusingly. “I know you didn’t mean to,",Great Gatsby
1,306,"but you did do it. That’s what I get for marrying a brute of a man, a",Great Gatsby
1,307,"great, big, hulking physical specimen of a—”",Great Gatsby
1,308,"“I hate that word ‘hulking,’ ” objected Tom crossly, “even in",Great Gatsby
1,309,kidding.”,Great Gatsby
1,310,"“Hulking,” insisted Daisy.",Great Gatsby
1,311,"Sometimes she and Miss Baker talked at once, unobtrusively and with a",Great Gatsby
1,312,"bantering inconsequence that was never quite chatter, that was as cool",Great Gatsby
1,313,as their white dresses and their impersonal eyes in the absence of all,Great Gatsby
1,314,"desire. They were here, and they accepted Tom and me, making only a",Great Gatsby
1,315,polite pleasant effort to entertain or to be entertained. They knew,Great Gatsby
1,316,that presently dinner would be over and a little later the evening too,Great Gatsby
1,317,would be over and casually put away. It was sharply different from the,Great Gatsby
1,318,"West, where an evening was hurried from phase to phase towards its",Great Gatsby
1,319,"close, in a continually disappointed anticipation or else in sheer",Great Gatsby
1,320,nervous dread of the moment itself.,Great Gatsby
1,321,"“You make me feel uncivilized, Daisy,” I confessed on my second glass",Great Gatsby
1,322,of corky but rather impressive claret. “Can’t you talk about crops or,Great Gatsby
1,323,something?”,Great Gatsby
1,324,"I meant nothing in particular by this remark, but it was taken up in",Great Gatsby
1,325,an unexpected way.,Great Gatsby
1,326,"“Civilization’s going to pieces,” broke out Tom violently. “I’ve",Great Gatsby
1,327,gotten to be a terrible pessimist about things. Have you read The Rise,Great Gatsby
1,328,of the Coloured Empires by this man Goddard?”,Great Gatsby
1,329,"“Why, no,” I answered, rather surprised by his tone.",Great Gatsby
1,330,"“Well, it’s a fine book, and everybody ought to read it. The idea is",Great Gatsby
1,331,if we don’t look out the white race will be—will be utterly,Great Gatsby
1,332,submerged. It’s all scientific stuff; it’s been proved.”,Great Gatsby
1,333,"“Tom’s getting very profound,” said Daisy, with an expression of",Great Gatsby
1,334,unthoughtful sadness. “He reads deep books with long words in,Great Gatsby
1,335,them. What was that word we—”,Great Gatsby
1,336,"“Well, these books are all scientific,” insisted Tom, glancing at her",Great Gatsby
1,337,impatiently. “This fellow has worked out the whole thing. It’s up to,Great Gatsby
1,338,"us, who are the dominant race, to watch out or these other races will",Great Gatsby
1,339,have control of things.”,Great Gatsby
1,340,"“We’ve got to beat them down,” whispered Daisy, winking ferociously",Great Gatsby
1,341,toward the fervent sun.,Great Gatsby
1,342,"“You ought to live in California—” began Miss Baker, but Tom",Great Gatsby
1,343,interrupted her by shifting heavily in his chair.,Great Gatsby
1,344,"“This idea is that we’re Nordics. I am, and you are, and you are,",Great Gatsby
1,345,and—” After an infinitesimal hesitation he included Daisy with a,Great Gatsby
1,346,"slight nod, and she winked at me again. “—And we’ve produced all the",Great Gatsby
1,347,"things that go to make civilization—oh, science and art, and all",Great Gatsby
1,348,that. Do you see?”,Great Gatsby
1,349,"There was something pathetic in his concentration, as if his",Great Gatsby
1,350,"complacency, more acute than of old, was not enough to him any more.",Great Gatsby
1,351,"When, almost immediately, the telephone rang inside and the butler",Great Gatsby
1,352,left the porch Daisy seized upon the momentary interruption and leaned,Great Gatsby
1,353,towards me.,Great Gatsby
1,354,"“I’ll tell you a family secret,” she whispered enthusiastically.",Great Gatsby
1,355,“It’s about the butler’s nose. Do you want to hear about the butler’s,Great Gatsby
1,356,nose?”,Great Gatsby
1,357,“That’s why I came over tonight.”,Great Gatsby
1,358,"“Well, he wasn’t always a butler; he used to be the silver polisher",Great Gatsby
1,359,for some people in New York that had a silver service for two hundred,Great Gatsby
1,360,"people. He had to polish it from morning till night, until finally it",Great Gatsby
1,361,began to affect his nose—”,Great Gatsby
1,362,"“Things went from bad to worse,” suggested Miss Baker.",Great Gatsby
1,363,"“Yes. Things went from bad to worse, until finally he had to give up",Great Gatsby
1,364,his position.”,Great Gatsby
1,365,For a moment the last sunshine fell with romantic affection upon her,Great Gatsby
1,366,glowing face; her voice compelled me forward breathlessly as I,Great Gatsby
1,367,"listened—then the glow faded, each light deserting her with lingering",Great Gatsby
1,368,"regret, like children leaving a pleasant street at dusk.",Great Gatsby
1,369,"The butler came back and murmured something close to Tom’s ear,",Great Gatsby
1,370,"whereupon Tom frowned, pushed back his chair, and without a word went",Great Gatsby
1,371,"inside. As if his absence quickened something within her, Daisy leaned",Great Gatsby
1,372,"forward again, her voice glowing and singing.",Great Gatsby
1,373,"“I love to see you at my table, Nick. You remind me of a—of a rose, an",Great Gatsby
1,374,absolute rose. Doesn’t he?” She turned to Miss Baker for confirmation:,Great Gatsby
1,375,“An absolute rose?”,Great Gatsby
1,376,This was untrue. I am not even faintly like a rose. She was only,Great Gatsby
1,377,"extemporizing, but a stirring warmth flowed from her, as if her heart",Great Gatsby
1,378,"was trying to come out to you concealed in one of those breathless,",Great Gatsby
1,379,thrilling words. Then suddenly she threw her napkin on the table and,Great Gatsby
1,380,excused herself and went into the house.,Great Gatsby
1,381,Miss Baker and I exchanged a short glance consciously devoid of,Great Gatsby
1,382,meaning. I was about to speak when she sat up alertly and said “Sh!”,Great Gatsby
1,383,in a warning voice. A subdued impassioned murmur was audible in the,Great Gatsby
1,384,"room beyond, and Miss Baker leaned forward unashamed, trying to",Great Gatsby
1,385,"hear. The murmur trembled on the verge of coherence, sank down,",Great Gatsby
1,386,"mounted excitedly, and then ceased altogether.",Great Gatsby
1,387,“This Mr. Gatsby you spoke of is my neighbour—” I began.,Great Gatsby
1,388,“Don’t talk. I want to hear what happens.”,Great Gatsby
1,389,“Is something happening?” I inquired innocently.,Great Gatsby
1,390,"“You mean to say you don’t know?” said Miss Baker, honestly surprised.",Great Gatsby
1,391,“I thought everybody knew.”,Great Gatsby
1,392,“I don’t.”,Great Gatsby
1,393,“Why—” she said hesitantly. “Tom’s got some woman in New York.”,Great Gatsby
1,394,“Got some woman?” I repeated blankly.,Great Gatsby
1,395,Miss Baker nodded.,Great Gatsby
1,396,“She might have the decency not to telephone him at dinner time.,Great Gatsby
1,397,Don’t you think?”,Great Gatsby
1,398,Almost before I had grasped her meaning there was the flutter of a,Great Gatsby
1,399,"dress and the crunch of leather boots, and Tom and Daisy were back at",Great Gatsby
1,400,the table.,Great Gatsby
1,401,“It couldn’t be helped!” cried Daisy with tense gaiety.,Great Gatsby
1,402,"She sat down, glanced searchingly at Miss Baker and then at me, and",Great Gatsby
1,403,"continued: “I looked outdoors for a minute, and it’s very romantic",Great Gatsby
1,404,outdoors. There’s a bird on the lawn that I think must be a,Great Gatsby
1,405,nightingale come over on the Cunard or White Star Line. He’s singing,Great Gatsby
1,406,"away—” Her voice sang: “It’s romantic, isn’t it, Tom?”",Great Gatsby
1,407,"“Very romantic,” he said, and then miserably to me: “If it’s light",Great Gatsby
1,408,"enough after dinner, I want to take you down to the stables.”",Great Gatsby
1,409,"The telephone rang inside, startlingly, and as Daisy shook her head",Great Gatsby
1,410,"decisively at Tom the subject of the stables, in fact all subjects,",Great Gatsby
1,411,vanished into air. Among the broken fragments of the last five minutes,Great Gatsby
1,412,"at table I remember the candles being lit again, pointlessly, and I",Great Gatsby
1,413,"was conscious of wanting to look squarely at everyone, and yet to",Great Gatsby
1,414,"avoid all eyes. I couldn’t guess what Daisy and Tom were thinking, but",Great Gatsby
1,415,"I doubt if even Miss Baker, who seemed to have mastered a certain",Great Gatsby
1,416,"hardy scepticism, was able utterly to put this fifth guest’s shrill",Great Gatsby
1,417,metallic urgency out of mind. To a certain temperament the situation,Great Gatsby
1,418,might have seemed intriguing—my own instinct was to telephone,Great Gatsby
1,419,immediately for the police.,Great Gatsby
1,420,"The horses, needless to say, were not mentioned again. Tom and Miss",Great Gatsby
1,421,"Baker, with several feet of twilight between them, strolled back into",Great Gatsby
