,term_str,pos_max,count,n,num,stop,stem_porter,stem_snowball,stem_lancaster
42,abstracted,JJ,1,1,0,0,abstract,abstract,abstract
43,abstractedly,RB,1,1,0,0,abstractedli,abstract,abstract
44,abstraction,NN,1,1,0,0,abstract,abstract,abstract
45,absurd,JJ,2,3,0,0,absurd,absurd,absurd
46,abyss,NN,1,1,0,0,abyss,abyss,abyss
47,accelerator,NN,1,1,0,0,acceler,acceler,accel
48,accentuated,VBD,1,1,0,0,accentu,accentu,accentu
49,accept,VB,1,1,0,0,accept,accept,acceiv
50,accepted,VBD,4,7,0,0,accept,accept,acceiv
51,accident,NN,6,6,0,0,accid,accid,accid
52,accidental,NN,2,3,0,0,accident,accident,accid
53,accidentally,RB,1,1,0,0,accident,accident,accid
54,accompanied,VBN,1,1,0,0,accompani,accompani,accompany
55,accompanies,NNS,1,1,0,0,accompani,accompani,accompany
56,accomplishments,NNS,1,1,0,0,accomplish,accomplish,accompl
57,according,VBG,2,2,0,0,accord,accord,accord
58,account,NN,1,1,0,0,account,account,account
59,accounted,VBN,1,1,0,0,account,account,account
60,accounting,NN,1,2,0,0,account,account,account
61,accusations,NNS,2,2,0,0,accus,accus,accus
62,accused,VBN,1,2,0,0,accus,accus,accus
63,accusingly,RB,2,2,0,0,accusingli,accus,accus
64,achievement,NN,1,1,0,0,achiev,achiev,achiev
65,aching,VBG,1,1,0,0,ach,ach,ach
66,acknowledged,VBN,1,1,0,0,acknowledg,acknowledg,acknowledg
67,acquaintance,NN,2,2,0,0,acquaint,acquaint,acquaint
68,acquaintances,NNS,2,2,0,0,acquaint,acquaint,acquaint
69,acre,NN,1,1,0,0,acr,acr,acr
70,acres,NNS,1,1,0,0,acr,acr,acr
71,across,IN,26,26,0,0,across,across,across
72,act,NN,4,5,0,0,act,act,act
73,acting,VBG,2,2,0,0,act,act,act
74,action,NN,1,1,0,0,action,action,act
75,activities,NNS,1,1,0,0,activ,activ,act
76,actor,NN,1,1,0,0,actor,actor,act
77,actress,NN,1,1,0,0,actress,actress,actress
78,actual,JJ,2,2,0,0,actual,actual,act
79,actually,RB,3,3,0,0,actual,actual,act
80,acute,NN,1,2,0,0,acut,acut,acut
81,adam,NNP,1,1,0,0,adam,adam,adam
82,adapting,VBG,1,1,0,0,adapt,adapt,adapt
83,added,VBD,10,13,0,0,ad,ad,ad
84,addenda,NNS,1,1,0,0,addenda,addenda,addend
85,adding,VBG,2,2,0,0,ad,ad,ad
86,addition,NN,1,1,0,0,addit,addit,addit
87,address,NN,3,4,0,0,address,address,address
88,addressed,VBD,2,3,0,0,address,address,address
89,addresses,NNS,1,1,0,0,address,address,address
90,addressing,VBG,1,1,0,0,address,address,address
91,addressinside,NN,1,1,0,0,addressinsid,addressinsid,addressinsid
92,adjusted,VBD,1,1,0,0,adjust,adjust,adjust
93,adjustment,NN,1,1,0,0,adjust,adjust,adjust
94,admiration,NN,2,2,0,0,admir,admir,admir
95,admire,IN,1,1,0,0,admir,admir,admir
96,admired,VBD,3,4,0,0,admir,admir,admir
97,admiringly,RB,1,1,0,0,admiringli,admir,admir
98,admission,NN,2,2,0,0,admiss,admiss,admit
99,admitted,VBD,4,4,0,0,admit,admit,admit
100,adorable,JJ,1,1,0,0,ador,ador,ad
101,adore,VBP,1,1,0,0,ador,ador,ad
102,adriatic,JJ,1,1,0,0,adriat,adriat,adry
103,advance,NN,1,1,0,0,advanc,advanc,adv
104,advanced,JJ,1,1,0,0,advanc,advanc,adv
105,advancing,VBG,1,1,0,0,advanc,advanc,adv
106,advantage,NN,2,2,0,0,advantag,advantag,adv
107,advantages,NNS,1,1,0,0,advantag,advantag,adv
108,adventitious,JJ,1,1,0,0,adventiti,adventiti,adv
109,adventurous,JJ,1,1,0,0,adventur,adventur,adv
110,advertisement,NN,4,4,0,0,advertis,advertis,advert
111,advice,NN,2,2,0,0,advic,advic,adv
112,advised,VBD,2,2,0,0,advis,advis,adv
113,aesthetic,JJ,1,1,0,0,aesthet,aesthet,aesthet
114,affair,NN,6,6,0,0,affair,affair,affair
115,affairs,NNS,2,2,0,0,affair,affair,affair
116,affairsand,NN,1,1,0,0,affairsand,affairsand,affairsand
117,affect,VB,2,2,0,0,affect,affect,affect
118,affectations,NNS,1,1,0,0,affect,affect,affect
119,affected,VBN,2,2,0,0,affect,affect,affect
120,affection,NN,2,2,0,0,affect,affect,affect
121,affirmed,VBD,1,1,0,0,affirm,affirm,affirm
122,afford,VB,1,1,0,0,afford,afford,afford
123,affront,NN,1,1,0,0,affront,affront,affront
124,afraid,NN,6,9,0,0,afraid,afraid,afraid
125,after,IN,87,88,0,1,after,after,aft
126,afternoon,NN,42,42,0,0,afternoon,afternoon,afternoon
127,afternoons,NNS,2,2,0,0,afternoon,afternoon,afternoon
128,afterward,RB,6,6,0,0,afterward,afterward,afterward
129,again,RB,54,55,0,1,again,again,again
130,against,IN,32,32,0,1,against,against,against
131,againthe,JJ,1,1,0,0,againth,againth,againth
132,age,NN,5,5,0,0,age,age,ag
133,aggressive,JJ,1,1,0,0,aggress,aggress,aggress
134,aggressively,RB,2,2,0,0,aggress,aggress,aggress
135,ago,RB,17,19,0,0,ago,ago,ago
136,agonizingly,RB,1,1,0,0,agonizingli,agon,agon
137,agreeable,JJ,1,1,0,0,agreeabl,agreeabl,agr
138,agreed,VBD,8,9,0,0,agre,agre,agree
139,agreement,NN,2,2,0,0,agreement,agreement,agr
140,ah,NNP,1,1,0,0,ah,ah,ah
141,ahead,RB,4,5,0,0,ahead,ahead,ahead
142,ahhh,JJ,1,2,0,0,ahhh,ahhh,ahhh
143,aid,NN,1,1,0,0,aid,aid,aid
144,ain,NNP,1,1,0,1,ain,ain,ain
145,air,NN,25,25,0,0,air,air,air
146,aired,VBN,1,1,0,0,air,air,air
147,airedale,NNP,2,2,0,0,airedal,airedal,air
148,airedaleundoubtedly,NNP,1,1,0,0,airedaleundoubtedli,airedaleundoubt,airedaleundoubt
149,ajar,NN,1,2,0,0,ajar,ajar,aj
150,alarm,NN,1,1,0,0,alarm,alarm,alarm
151,alarmed,VBD,1,2,0,0,alarm,alarm,alarm
152,alarming,JJ,1,1,0,0,alarm,alarm,alarm
153,albany,NNP,1,1,0,0,albani,albani,albany
154,albrucksburger,NNP,1,1,0,0,albrucksburg,albrucksburg,albrucksburg
155,alcohol,NN,1,1,0,0,alcohol,alcohol,alcohol
156,ale,NN,4,4,0,0,ale,ale,al
157,aleand,NN,1,1,0,0,aleand,aleand,aleand
158,alert,JJ,2,3,0,0,alert,alert,alert
159,alertly,RB,2,2,0,0,alertli,alert,alert
160,alighted,VBN,1,1,0,0,alight,alight,alight
161,alignment,NN,1,1,0,0,align,align,align
162,alive,JJ,5,5,0,0,aliv,aliv,al
163,all,DT,169,216,0,1,all,all,al
164,alland,NN,1,1,0,0,alland,alland,alland
165,allexcept,NN,1,1,0,0,allexcept,allexcept,allexceiv
166,alleys,NNS,1,1,0,0,alley,alley,alley
167,allied,JJ,1,1,0,0,alli,alli,al
168,allnight,JJ,1,1,0,0,allnight,allnight,allnight
169,alltom,NN,1,1,0,0,alltom,alltom,alltom
170,almost,RB,20,20,0,0,almost,almost,almost
171,alone,RB,30,31,0,0,alon,alon,alon
172,alonefifty,JJ,1,1,0,0,alonefifti,alonefifti,alonefifty
173,alonehe,RB,1,1,0,0,aloneh,aloneh,aloneh
174,along,IN,26,31,0,0,along,along,along
175,alongshore,RB,2,3,0,0,alongshor,alongshor,alongsh
176,alongside,RB,2,2,0,0,alongsid,alongsid,alongsid
177,aloud,NN,4,5,0,0,aloud,aloud,aloud
178,already,RB,15,15,0,0,alreadi,alreadi,already
179,also,RB,5,5,0,0,also,also,also
180,altered,VBN,1,1,0,0,alter,alter,alt
181,although,IN,1,1,0,0,although,although,although
182,altogether,RB,1,1,0,0,altogeth,altogeth,altogeth
183,aluminium,NN,1,1,0,0,aluminium,aluminium,alumin
184,always,RB,34,34,0,0,alway,alway,alway
185,am,VBP,16,17,0,1,am,am,am
186,amazed,VBD,1,2,0,0,amaz,amaz,amaz
187,amazing,JJ,1,2,0,0,amaz,amaz,amaz
188,ambiguously,RB,1,1,0,0,ambigu,ambigu,ambigu
189,ambitions,NNS,1,1,0,0,ambit,ambit,ambit
190,ambitious,JJ,2,2,0,0,ambiti,ambiti,amb
191,ambulance,NN,1,1,0,0,ambul,ambul,amb
192,amen,NNP,1,1,0,0,amen,amen,am
193,america,NNP,2,2,0,0,america,america,americ
194,american,JJ,5,5,0,0,american,american,am
195,americans,NNPS,2,2,0,0,american,american,am
196,americanthat,NNP,1,1,0,0,americanthat,americanthat,americanth
197,amid,IN,1,1,0,0,amid,amid,amid
198,ammonia,NN,1,1,0,0,ammonia,ammonia,ammon
199,among,IN,21,21,0,0,among,among,among
200,amorphous,JJ,1,1,0,0,amorph,amorph,amorph
201,amount,NN,4,4,0,0,amount,amount,amount
202,amour,NN,1,1,0,0,amour,amour,amo
203,amputated,JJ,1,1,0,0,amput,amput,amput
204,amused,VBN,2,2,0,0,amus,amus,amus
205,amusement,NN,1,1,0,0,amus,amus,amus
206,an,DT,186,186,0,1,an,an,an
207,anaemic,JJ,1,1,0,0,anaem,anaem,anaem
208,ancestors,NNS,1,1,0,0,ancestor,ancestor,ancest
209,ancestral,JJ,1,1,0,0,ancestr,ancestr,ancest
210,anchor,NN,2,2,0,0,anchor,anchor,anch
211,anchored,VBN,1,1,0,0,anchor,anchor,anch
212,and,CC,1527,1529,0,1,and,and,and
213,andeats,NNS,1,1,0,0,andeat,andeat,and
214,andhere,RB,1,1,0,0,andher,andher,andh
215,angle,NN,1,1,0,0,angl,angl,angl
216,angry,JJ,3,4,0,0,angri,angri,angry
217,announced,VBD,3,4,0,0,announc,announc,annount
218,annoy,NN,1,1,0,0,annoy,annoy,annoy
219,annoyance,NN,1,1,0,0,annoy,annoy,annoy
220,annoyed,VBD,1,3,0,0,annoy,annoy,annoy
221,anon,VB,1,1,0,0,anon,anon,anon
222,another,DT,36,36,0,0,anoth,anoth,anoth
223,answer,NN,5,9,0,0,answer,answer,answ
224,answered,VBD,15,17,0,0,answer,answer,answ
225,answering,VBG,2,2,0,0,answer,answer,answ
226,antecedents,NNS,1,1,0,0,anteced,anteced,antec
227,anteroom,NN,1,1,0,0,anteroom,anteroom,anteroom
228,anticipation,NN,1,1,0,0,anticip,anticip,anticip
229,anticlimax,NN,1,1,0,0,anticlimax,anticlimax,anticlimax
230,antly,RB,1,1,0,0,antli,ant,ant
231,antoinette,NNP,1,1,0,0,antoinett,antoinett,antoinet
232,anxiously,RB,4,4,0,0,anxious,anxious,anxy
233,any,DT,65,67,0,1,ani,ani,any
234,anybody,NN,6,7,0,0,anybodi,anybodi,anybody
235,anyhow,RB,5,12,0,0,anyhow,anyhow,anyhow
236,anyhowdaisy,NNP,1,1,0,0,anyhowdaisi,anyhowdaisi,anyhowdaisy
237,anyone,NN,10,10,0,0,anyon,anyon,anyon
238,anything,NN,24,27,0,0,anyth,anyth,anyth
239,anyways,NNP,1,1,0,0,anyway,anyway,anyway
240,anywhere,RB,2,3,0,0,anywher,anywher,anywh
241,aof,NN,1,1,0,0,aof,aof,aof
242,apart,RB,4,4,0,0,apart,apart,apart
243,apartment,NN,6,6,0,0,apart,apart,apart
244,apartmenthouses,NNS,1,1,0,0,apartmenthous,apartmenthous,apartmenth
245,apartments,NNS,3,3,0,0,apart,apart,apart
246,apathetically,RB,1,1,0,0,apathet,apathet,apathet
247,apologetically,RB,1,1,0,0,apologet,apologet,apologet
248,apologize,VB,1,1,0,0,apolog,apolog,apolog
249,apology,NN,2,2,0,0,apolog,apolog,apolog
250,appalled,VBN,1,1,0,0,appal,appal,appal
251,appalling,JJ,1,1,0,0,appal,appal,appal
252,apparently,RB,6,6,0,0,appar,appar,app
253,apparition,NN,1,1,0,0,apparit,apparit,apparit
254,appeal,NN,1,1,0,0,appeal,appeal,ap
255,appearance,NN,2,2,0,0,appear,appear,appear
256,appeared,VBD,5,6,0,0,appear,appear,appear
257,appears,VBZ,1,1,0,0,appear,appear,appear
258,appended,VBD,1,1,0,0,append,append,append
259,appendicitis,NN,1,1,0,0,append,append,appendicit
260,applegreen,JJ,1,1,0,0,applegreen,applegreen,applegreen
261,appreciated,VBN,1,1,0,0,appreci,appreci,apprecy
262,approached,VBD,2,3,0,0,approach,approach,approach
263,appropriate,NN,1,2,0,0,appropri,appropri,appropry
264,approved,VBD,1,1,0,0,approv,approv,approv
265,approving,VBG,1,1,0,0,approv,approv,approv
266,april,NNP,1,1,0,0,april,april,april
267,aquaplanes,NNS,1,1,0,0,aquaplan,aquaplan,aquapl
268,araby,NNP,1,1,0,0,arabi,arabi,araby
269,arc,NN,1,1,0,0,arc,arc,arc
270,arched,JJ,1,1,0,0,arch,arch,arch
271,archway,RB,1,1,0,0,archway,archway,archway
272,ardita,NNP,1,1,0,0,ardita,ardita,ardit
273,are,VBP,46,46,0,1,are,are,ar
274,area,NN,1,1,0,0,area,area,are
275,aren,VBZ,1,4,0,1,aren,aren,ar
276,argonne,NNP,2,2,0,0,argonn,argonn,argon
277,argue,NN,1,1,0,0,argu,argu,argu
278,argued,VBD,1,1,0,0,argu,argu,argu
279,argument,NN,3,3,0,0,argument,argument,argu
280,arguments,NNS,1,1,0,0,argument,argument,argu
281,arm,NN,15,15,0,0,arm,arm,arm
282,armistice,NN,3,3,0,0,armistic,armistic,arm
283,arms,NNS,12,12,0,0,arm,arm,arm
284,armsbut,NN,1,1,0,0,armsbut,armsbut,armsbut
285,army,NN,5,5,0,0,armi,armi,army
286,arose,NN,1,1,0,0,aros,aros,aros
287,around,IN,44,70,0,0,around,around,around
288,arrange,VB,2,3,0,0,arrang,arrang,arrang
289,arrangement,NN,2,2,0,0,arrang,arrang,arrang
290,arrangements,NNS,1,1,0,0,arrang,arrang,arrang
291,arrest,VB,1,1,0,0,arrest,arrest,arrest
292,arrival,NN,1,1,0,0,arriv,arriv,ar
293,arrivals,NNS,2,2,0,0,arriv,arriv,ar
294,arrive,VB,2,2,0,0,arriv,arriv,ar
295,arrived,VBD,11,16,0,0,arriv,arriv,ar
296,arrogant,JJ,2,2,0,0,arrog,arrog,arrog
297,art,NN,1,1,0,0,art,art,art
298,arthur,NNP,1,1,0,0,arthur,arthur,arth
299,articles,NNS,1,1,0,0,articl,articl,artic
300,artificial,JJ,3,3,0,0,artifici,artifici,art
301,artistic,JJ,1,1,0,0,artist,artist,art
302,as,IN,255,267,0,1,as,as,as
303,asa,NN,1,1,0,0,asa,asa,as
304,ascertain,VB,1,1,0,0,ascertain,ascertain,ascertain
305,ascertained,VBN,1,1,0,0,ascertain,ascertain,ascertain
306,ashamed,VBD,1,1,0,0,asham,asham,asham
307,ashen,NN,2,2,0,0,ashen,ashen,ash
308,ashes,NNS,5,5,0,0,ash,ash,ash
309,ashesa,JJ,1,1,0,0,ashesa,ashesa,ashes
310,asheville,NNP,1,1,0,0,ashevil,ashevill,ashevil
311,ashgrey,JJ,2,2,0,0,ashgrey,ashgrey,ashgrey
312,ashheaps,NNS,4,5,0,0,ashheap,ashheap,ashheap
313,ashtrays,NNS,1,1,0,0,ashtray,ashtray,ashtray
314,aside,RB,4,4,0,0,asid,asid,asid
315,ask,VB,12,15,0,0,ask,ask,ask
316,asked,VBD,42,43,0,0,ask,ask,ask
317,asking,VBG,1,1,0,0,ask,ask,ask
318,asleep,RB,6,10,0,0,asleep,asleep,asleep
319,asleepshe,NN,1,1,0,0,asleepsh,asleepsh,asleepsh
320,aspect,NN,1,1,0,0,aspect,aspect,aspect
321,aspired,VBN,1,1,0,0,aspir,aspir,aspir
322,asserted,VBD,2,3,0,0,assert,assert,assert
323,assertions,NNS,1,1,0,0,assert,assert,assert
324,associated,VBN,1,2,0,0,associ,associ,assocy
325,association,NN,1,1,0,0,associ,associ,assocy
326,assumed,VBD,3,4,0,0,assum,assum,assum
327,assumption,NN,1,1,0,0,assumpt,assumpt,assum
328,assure,VB,1,1,0,0,assur,assur,ass
329,assured,VBD,6,6,0,0,assur,assur,ass
330,astonished,VBN,1,1,0,0,astonish,astonish,aston
331,astonishing,VBG,1,1,0,0,astonish,astonish,aston
332,astonishment,NN,2,2,0,0,astonish,astonish,aston
333,astoria,NNP,1,1,0,0,astoria,astoria,astor
334,astoriaonly,RB,1,1,0,0,astoriaonli,astoriaon,astoriaon
335,astounded,VBN,1,1,0,0,astound,astound,astound
336,astounding,VBG,1,1,0,0,astound,astound,astound
337,asunder,NN,1,1,0,0,asund,asund,asund
338,at,IN,404,404,0,1,at,at,at
339,ate,VBD,1,2,0,0,ate,ate,at
340,athlete,NN,1,1,0,0,athlet,athlet,athlet
341,atlantic,NNP,1,1,0,0,atlant,atlant,atl
342,atmosphere,NN,1,1,0,0,atmospher,atmospher,atmosph
343,attach,VB,2,2,0,0,attach,attach,attach
344,attached,VBD,1,1,0,0,attach,attach,attach
345,attacksat,JJ,1,1,0,0,attacksat,attacksat,attacks
346,attain,VB,2,2,0,0,attain,attain,attain
347,attempt,NN,4,4,0,0,attempt,attempt,attempt
348,attempting,NN,1,2,0,0,attempt,attempt,attempt
349,attend,VB,1,1,0,0,attend,attend,attend
350,attention,NN,6,6,0,0,attent,attent,at
351,attired,VBN,1,1,0,0,attir,attir,attir
352,attracted,VBN,1,2,0,0,attract,attract,attract
353,attractively,RB,1,1,0,0,attract,attract,attract
354,audible,JJ,2,2,0,0,audibl,audibl,aud
355,audibly,RB,1,1,0,0,audibl,audibl,aud
356,auerbach,NNP,1,1,0,0,auerbach,auerbach,auerbach
357,august,NNP,2,2,0,0,august,august,august
358,aunt,NN,2,3,0,0,aunt,aunt,aunt
359,auntbut,NN,1,1,0,0,auntbut,auntbut,auntbut
360,aunts,NNS,1,1,0,0,aunt,aunt,aunt
361,authentic,JJ,1,1,0,0,authent,authent,auth
362,authentically,RB,1,1,0,0,authent,authent,auth
363,authoritative,JJ,1,1,0,0,authorit,authorit,authorit
364,authoritatively,RB,1,1,0,0,authorit,authorit,authorit
365,authorities,NNS,1,1,0,0,author,author,auth
366,authority,NN,1,1,0,0,author,author,auth
367,auto,NNP,1,1,0,0,auto,auto,auto
368,automatic,JJ,1,1,0,0,automat,automat,autom
369,automatically,RB,3,3,0,0,automat,automat,autom
370,automobile,NN,2,2,0,0,automobil,automobil,automobl
371,automobiles,NNS,4,5,0,0,automobil,automobil,automobl
372,autumn,NN,4,5,0,0,autumn,autumn,autumn
373,autumnleaf,JJ,1,1,0,0,autumnleaf,autumnleaf,autumnleaf
374,avenue,NNP,4,4,0,0,avenu,avenu,avenu
375,avoid,IN,1,2,0,0,avoid,avoid,avoid
376,avoided,VBD,2,2,0,0,avoid,avoid,avoid
377,avoiding,VBG,1,1,0,0,avoid,avoid,avoid
378,awaited,VBD,1,1,0,0,await,await,await
379,aware,JJ,8,10,0,0,awar,awar,aw
380,away,RB,63,74,0,0,away,away,away
381,awayand,RP,1,1,0,0,awayand,awayand,awayand
382,awed,JJ,3,3,0,0,awe,awe,aw
383,awful,JJ,2,4,0,0,aw,aw,aw
384,awfully,RB,1,1,0,0,aw,aw,aw
385,awkward,NN,1,1,0,0,awkward,awkward,awkward
386,awnings,NNS,1,1,0,0,awn,awn,awn
387,awoke,VBD,2,2,0,0,awok,awok,awok
388,axe,NN,1,1,0,0,axe,axe,ax
389,b,NNP,5,5,0,0,b,b,b
390,babbled,JJ,1,1,0,0,babbl,babbl,babbl
391,baby,NN,3,3,0,0,babi,babi,baby
392,back,RB,83,109,0,0,back,back,back
393,backed,VBD,1,1,0,0,back,back,back
394,background,NN,1,1,0,0,background,background,background
395,backhyssons,NNS,1,1,0,0,backhysson,backhysson,backhysson
396,backs,NNS,1,1,0,0,back,back,back
397,backward,NN,3,6,0,0,backward,backward,backward
398,bad,JJ,11,11,0,0,bad,bad,bad
399,baedeker,NNP,5,5,0,0,baedek,baedek,baedek
400,baffled,VBN,1,1,0,0,baffl,baffl,baffl
401,bag,NN,2,2,0,0,bag,bag,bag
402,baggage,NN,1,1,0,0,baggag,baggag,bag
403,baked,JJ,1,1,0,0,bake,bake,bak
404,baker,NNP,40,40,0,0,baker,baker,bak
405,baking,NN,1,1,0,0,bake,bake,bak
406,balance,VB,1,1,0,0,balanc,balanc,bal
407,balancing,VBG,4,4,0,0,balanc,balanc,bal
408,ball,NN,2,2,0,0,ball,ball,bal
409,balloon,NN,1,1,0,0,balloon,balloon,balloon
410,ballooned,VBD,1,1,0,0,balloon,balloon,balloon
411,ballroom,NN,2,2,0,0,ballroom,ballroom,ballroom
412,band,NN,1,1,0,0,band,band,band
413,bandages,NNS,1,1,0,0,bandag,bandag,band
414,banjo,NN,1,1,0,0,banjo,banjo,banjo
415,banjoes,NNS,1,1,0,0,banjo,banjo,banjo
416,banking,NN,1,1,0,0,bank,bank,bank
417,banners,NNS,2,2,0,0,banner,banner,ban
418,banns,NN,1,1,0,0,bann,bann,ban
419,bantering,VBG,1,1,0,0,banter,banter,bant
420,bar,NN,3,3,0,0,bar,bar,bar
421,barbara,NNP,3,3,0,0,barbara,barbara,barbar
422,barbary,NNP,1,1,0,0,barbari,barbari,barb
423,barbed,VBD,1,1,0,0,barb,barb,barb
424,bare,NN,3,3,0,0,bare,bare,bar
425,barely,RB,1,1,0,0,bare,bare,bar
426,barges,NNS,1,1,0,0,barg,barg,barg
427,barnyard,NN,1,1,0,0,barnyard,barnyard,barnyard
428,barrier,NN,2,2,0,0,barrier,barrier,barry
429,baseball,NN,1,1,0,0,basebal,basebal,basebal
430,basic,JJ,1,1,0,0,basic,basic,bas
431,basket,NN,4,4,0,0,basket,basket,basket
432,bass,NN,1,1,0,0,bass,bass,bass
433,bastards,NNS,1,1,0,0,bastard,bastard,bastard
434,bat,NN,1,1,0,0,bat,bat,bat
435,bath,NN,3,4,0,0,bath,bath,bath
436,bathingsuit,NN,1,1,0,0,bathingsuit,bathingsuit,bathingsuit
437,bathroom,NN,1,1,0,0,bathroom,bathroom,bathroom
438,bathrooms,NNS,2,2,0,0,bathroom,bathroom,bathroom
439,baths,NNS,1,1,0,0,bath,bath,bath
440,bathsintruding,VBG,1,1,0,0,bathsintrud,bathsintrud,bathsintrud
441,battalion,NN,1,1,0,0,battalion,battalion,bat
442,battles,VBZ,1,1,0,0,battl,battl,battl
443,bay,NN,6,8,0,0,bay,bay,bay
444,be,VB,121,123,0,1,be,be,be
445,beach,NN,8,9,0,0,beach,beach,beach
446,beaded,VBN,1,1,0,0,bead,bead,bead
447,beads,NNS,3,3,0,0,bead,bead,bead
448,beale,NNP,1,1,0,0,beal,beal,beal
449,beamed,VBD,2,2,0,0,beam,beam,beam
450,bear,NN,1,2,0,0,bear,bear,bear
451,beard,NN,1,2,0,0,beard,beard,beard
452,bearing,VBG,1,1,0,0,bear,bear,bear
453,beast,NNP,1,1,0,0,beast,beast,beast
454,beat,VB,4,9,0,0,beat,beat,beat
455,beating,VBG,3,5,0,0,beat,beat,beat
456,beautiful,JJ,7,7,0,0,beauti,beauti,beauty
457,beauty,NN,6,7,0,0,beauti,beauti,beauty
458,beaux,NN,1,1,0,0,beaux,beaux,beaux
459,beaver,NNP,1,1,0,0,beaver,beaver,beav
460,became,VBD,9,9,0,0,becam,becam,becam
461,because,IN,44,45,0,1,becaus,becaus,becaus
462,becker,NNP,1,1,0,0,becker,becker,beck
463,beckers,NNPS,1,1,0,0,becker,becker,beck
464,become,VB,2,5,0,0,becom,becom,becom
465,becomes,VBZ,1,1,0,0,becom,becom,becom
466,bed,NN,16,16,0,0,bed,bed,bed
467,bedroom,NN,5,5,0,0,bedroom,bedroom,bedroom
468,bedrooms,NNS,3,3,0,0,bedroom,bedroom,bedroom
469,been,VBN,106,107,0,1,been,been,been
470,beetles,NNS,1,1,0,0,beetl,beetl,beetl
471,before,IN,77,87,0,1,befor,befor,bef
472,beforeand,NN,2,2,0,0,beforeand,beforeand,beforeand
473,beg,VBP,5,5,0,0,beg,beg,beg
474,began,VBD,50,50,0,0,began,began,beg
475,begged,VBD,2,2,0,0,beg,beg,beg
476,begin,VB,2,3,0,0,begin,begin,begin
477,beginning,VBG,3,5,0,0,begin,begin,begin
478,beginningand,NN,1,1,0,0,beginningand,beginningand,beginningand
479,beginnings,NNS,1,1,0,0,begin,begin,begin
480,begins,VBZ,2,2,0,0,begin,begin,begin
481,begotten,VBN,1,1,0,0,begotten,begotten,begot
482,begun,VBN,5,5,0,0,begun,begun,begun
483,behaviour,NN,1,1,0,0,behaviour,behaviour,behavio
484,behind,IN,15,18,0,0,behind,behind,behind
485,being,VBG,15,15,0,1,be,be,being
486,belasco,NNP,1,1,0,0,belasco,belasco,belasco
487,belcher,NNP,1,1,0,0,belcher,belcher,belch
488,belief,NN,1,1,0,0,belief,belief,believ
489,believe,VBP,10,16,0,0,believ,believ,believ
490,believed,VBD,4,7,0,0,believ,believ,believ
491,believing,VBG,1,1,0,0,believ,believ,believ
492,bell,NN,1,1,0,0,bell,bell,bel
493,bellows,NNS,1,1,0,0,bellow,bellow,bellow
494,bells,NNS,3,3,0,0,bell,bell,bel
495,belly,RB,1,1,0,0,belli,belli,bel
496,belong,VBP,2,3,0,0,belong,belong,belong
497,belonged,VBD,3,4,0,0,belong,belong,belong
498,belongs,NNS,1,1,0,0,belong,belong,belong
499,below,IN,3,4,0,1,below,below,below
500,beluga,NNP,2,2,0,0,beluga,beluga,belug
501,bembergs,NNP,1,1,0,0,bemberg,bemberg,bemberg
