term_str,term_id,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,dpidp,dfidf
adam,81,1,0,0,adam,adam,adam,NNP,0.3522138890491458,3.169925001442312
adapting,82,1,0,0,adapt,adapt,adapt,VBG,0.3522138890491458,3.169925001442312
added,83,13,0,0,ad,ad,ad,VBD,0.1510444457264999,1.359400011538499
addenda,84,1,0,0,addenda,addenda,addend,NNS,0.3522138890491458,3.169925001442312
adding,85,2,0,0,ad,ad,ad,VBG,0.48220555587606934,4.339850002884624
addition,86,1,0,0,addit,addit,addit,NN,0.3522138890491458,3.169925001442312
address,87,4,0,0,address,address,address,NN,0.48220555587606934,4.339850002884624
addressed,88,3,0,0,address,address,address,VBD,0.5283208335737186,4.754887502163468
addresses,89,1,0,0,address,address,address,NNS,0.3522138890491458,3.169925001442312
addressing,90,1,0,0,address,address,address,VBG,0.3522138890491458,3.169925001442312
addressinside,91,1,0,0,addressinsid,addressinsid,addressinsid,NN,0.3522138890491458,3.169925001442312
adjusted,92,1,0,0,adjust,adjust,adjust,VBD,0.3522138890491458,3.169925001442312
adjustment,93,1,0,0,adjust,adjust,adjust,NN,0.3522138890491458,3.169925001442312
admiration,94,2,0,0,admir,admir,admir,NN,0.48220555587606934,4.339850002884624
admire,95,1,0,0,admir,admir,admir,IN,0.3522138890491458,3.169925001442312
admired,96,4,0,0,admir,admir,admir,VBD,0.48220555587606934,4.339850002884624
admiringly,97,1,0,0,admiringli,admir,admir,RB,0.3522138890491458,3.169925001442312
admission,98,2,0,0,admiss,admiss,admit,NN,0.48220555587606934,4.339850002884624
admitted,99,4,0,0,admit,admit,admit,VBD,0.48220555587606934,4.339850002884624
adorable,100,1,0,0,ador,ador,ad,JJ,0.3522138890491458,3.169925001442312
adore,101,1,0,0,ador,ador,ad,VBP,0.3522138890491458,3.169925001442312
adriatic,102,1,0,0,adriat,adriat,adry,JJ,0.3522138890491458,3.169925001442312
advance,103,1,0,0,advanc,advanc,adv,NN,0.3522138890491458,3.169925001442312
advanced,104,1,0,0,advanc,advanc,adv,JJ,0.3522138890491458,3.169925001442312
advancing,105,1,0,0,advanc,advanc,adv,VBG,0.3522138890491458,3.169925001442312
advantage,106,2,0,0,advantag,advantag,adv,NN,0.48220555587606934,4.339850002884624
advantages,107,1,0,0,advantag,advantag,adv,NNS,0.3522138890491458,3.169925001442312
adventitious,108,1,0,0,adventiti,adventiti,adv,JJ,0.3522138890491458,3.169925001442312
adventurous,109,1,0,0,adventur,adventur,adv,JJ,0.3522138890491458,3.169925001442312
advertisement,110,4,0,0,advertis,advertis,advert,NN,0.5283208335737186,4.754887502163468
advice,111,2,0,0,advic,advic,adv,NN,0.48220555587606934,4.339850002884624
advised,112,2,0,0,advis,advis,adv,VBD,0.48220555587606934,4.339850002884624
aesthetic,113,1,0,0,aesthet,aesthet,aesthet,JJ,0.3522138890491458,3.169925001442312
affair,114,6,0,0,affair,affair,affair,NN,0.5199666673076944,4.6797000057692495
affairs,115,2,0,0,affair,affair,affair,NNS,0.48220555587606934,4.339850002884624
affairsand,116,1,0,0,affairsand,affairsand,affairsand,NN,0.3522138890491458,3.169925001442312
affect,117,2,0,0,affect,affect,affect,VB,0.48220555587606934,4.339850002884624
affectations,118,1,0,0,affect,affect,affect,NNS,0.3522138890491458,3.169925001442312
affected,119,2,0,0,affect,affect,affect,VBN,0.48220555587606934,4.339850002884624
affection,120,2,0,0,affect,affect,affect,NN,0.48220555587606934,4.339850002884624
affirmed,121,1,0,0,affirm,affirm,affirm,VBD,0.3522138890491458,3.169925001442312
afford,122,1,0,0,afford,afford,afford,VB,0.3522138890491458,3.169925001442312
affront,123,1,0,0,affront,affront,affront,NN,0.3522138890491458,3.169925001442312
afraid,124,9,0,0,afraid,afraid,afraid,NN,0.28199895063255076,2.5379905556929585
after,125,88,0,1,after,after,aft,IN,0.0,0.0
afternoon,126,42,0,0,afternoon,afternoon,afternoon,NN,0.0,0.0
afternoons,127,2,0,0,afternoon,afternoon,afternoon,NNS,0.3522138890491458,3.169925001442312
afterward,128,6,0,0,afterward,afterward,afterward,RB,0.3899750004807708,3.5097750043269373
again,129,55,0,1,again,again,again,RB,0.0,0.0
against,130,32,0,1,against,against,against,IN,0.0,0.0
againthe,131,1,0,0,againth,againth,againth,JJ,0.3522138890491458,3.169925001442312
age,132,5,0,0,age,age,ag,NN,0.5199666673076944,4.6797000057692495
aggressive,133,1,0,0,aggress,aggress,aggress,JJ,0.3522138890491458,3.169925001442312
aggressively,134,2,0,0,aggress,aggress,aggress,RB,0.48220555587606934,4.339850002884624
ago,135,19,0,0,ago,ago,ago,RB,0.0,0.0
agonizingly,136,1,0,0,agonizingli,agon,agon,RB,0.3522138890491458,3.169925001442312
agreeable,137,1,0,0,agreeabl,agreeabl,agr,JJ,0.3522138890491458,3.169925001442312
agreed,138,9,0,0,agre,agre,agree,VBD,0.4711093925305277,4.23998453277475
agreement,139,2,0,0,agreement,agreement,agr,NN,0.48220555587606934,4.339850002884624
ah,140,1,0,0,ah,ah,ah,NNP,0.3522138890491458,3.169925001442312
ahead,141,5,0,0,ahead,ahead,ahead,RB,0.5199666673076944,4.6797000057692495
ahhh,142,2,0,0,ahhh,ahhh,ahhh,JJ,0.48220555587606934,4.339850002884624
aid,143,1,0,0,aid,aid,aid,NN,0.3522138890491458,3.169925001442312
ain,144,1,0,1,ain,ain,ain,NNP,0.3522138890491458,3.169925001442312
air,145,25,0,0,air,air,air,NN,0.1510444457264999,1.359400011538499
aired,146,1,0,0,air,air,air,VBN,0.3522138890491458,3.169925001442312
airedale,147,2,0,0,airedal,airedal,air,NNP,0.3522138890491458,3.169925001442312
airedaleundoubtedly,148,1,0,0,airedaleundoubtedli,airedaleundoubt,airedaleundoubt,NNP,0.3522138890491458,3.169925001442312
ajar,149,2,0,0,ajar,ajar,aj,JJ,0.48220555587606934,4.339850002884624
alarm,150,1,0,0,alarm,alarm,alarm,NN,0.3522138890491458,3.169925001442312
alarmed,151,2,0,0,alarm,alarm,alarm,JJ,0.48220555587606934,4.339850002884624
alarming,152,1,0,0,alarm,alarm,alarm,JJ,0.3522138890491458,3.169925001442312
albany,153,1,0,0,albani,albani,albany,NNP,0.3522138890491458,3.169925001442312
albrucksburger,154,1,0,0,albrucksburg,albrucksburg,albrucksburg,NNP,0.3522138890491458,3.169925001442312
alcohol,155,1,0,0,alcohol,alcohol,alcohol,NN,0.3522138890491458,3.169925001442312
ale,156,4,0,0,ale,ale,al,NN,0.3522138890491458,3.169925001442312
aleand,157,1,0,0,aleand,aleand,aleand,NN,0.3522138890491458,3.169925001442312
alert,158,3,0,0,alert,alert,alert,JJ,0.5283208335737186,4.754887502163468
alertly,159,2,0,0,alertli,alert,alert,RB,0.48220555587606934,4.339850002884624
alighted,160,1,0,0,alight,alight,alight,VBN,0.3522138890491458,3.169925001442312
alignment,161,1,0,0,align,align,align,NN,0.3522138890491458,3.169925001442312
alive,162,5,0,0,aliv,aliv,al,JJ,0.4711093925305277,4.23998453277475
all,163,216,0,1,all,all,al,DT,0.0,0.0
alland,164,1,0,0,alland,alland,alland,NN,0.3522138890491458,3.169925001442312
allexcept,165,1,0,0,allexcept,allexcept,allexceiv,NN,0.3522138890491458,3.169925001442312
alleys,166,1,0,0,alley,alley,alley,NNS,0.3522138890491458,3.169925001442312
allied,167,1,0,0,alli,alli,al,JJ,0.3522138890491458,3.169925001442312
allnight,168,1,0,0,allnight,allnight,allnight,JJ,0.3522138890491458,3.169925001442312
alltom,169,1,0,0,alltom,alltom,alltom,NN,0.3522138890491458,3.169925001442312
almost,170,20,0,0,almost,almost,almost,RB,0.1510444457264999,1.359400011538499
alone,171,31,0,0,alon,alon,alon,RB,0.28199895063255076,2.5379905556929585
alonefifty,172,1,0,0,alonefifti,alonefifti,alonefifty,JJ,0.3522138890491458,3.169925001442312
alonehe,173,1,0,0,aloneh,aloneh,aloneh,RB,0.3522138890491458,3.169925001442312
along,174,31,0,0,along,along,along,IN,0.0,0.0
alongshore,175,3,0,0,alongshor,alongshor,alongsh,RB,0.5283208335737186,4.754887502163468
alongside,176,2,0,0,alongsid,alongsid,alongsid,RB,0.48220555587606934,4.339850002884624
aloud,177,5,0,0,aloud,aloud,aloud,NN,0.4711093925305277,4.23998453277475
already,178,15,0,0,alreadi,alreadi,already,RB,0.1510444457264999,1.359400011538499
also,179,5,0,0,also,also,also,RB,0.5199666673076944,4.6797000057692495
altered,180,1,0,0,alter,alter,alt,VBN,0.3522138890491458,3.169925001442312
although,181,1,0,0,although,although,although,IN,0.3522138890491458,3.169925001442312
altogether,182,1,0,0,altogeth,altogeth,altogeth,RB,0.3522138890491458,3.169925001442312
aluminium,183,1,0,0,aluminium,aluminium,alumin,NN,0.3522138890491458,3.169925001442312
always,184,34,0,0,alway,alway,alway,RB,0.0,0.0
am,185,17,0,1,am,am,am,VBP,0.3899750004807708,3.5097750043269373
amazed,186,2,0,0,amaz,amaz,amaz,JJ,0.48220555587606934,4.339850002884624
amazing,187,2,0,0,amaz,amaz,amaz,JJ,0.3522138890491458,3.169925001442312
ambiguously,188,1,0,0,ambigu,ambigu,ambigu,RB,0.3522138890491458,3.169925001442312
ambitions,189,1,0,0,ambit,ambit,ambit,NNS,0.3522138890491458,3.169925001442312
ambitious,190,2,0,0,ambiti,ambiti,amb,JJ,0.3522138890491458,3.169925001442312
ambulance,191,1,0,0,ambul,ambul,amb,NN,0.3522138890491458,3.169925001442312
amen,192,1,0,0,amen,amen,am,NNP,0.3522138890491458,3.169925001442312
america,193,2,0,0,america,america,americ,NNP,0.48220555587606934,4.339850002884624
american,194,5,0,0,american,american,am,JJ,0.5199666673076944,4.6797000057692495
americans,195,2,0,0,american,american,am,NNPS,0.48220555587606934,4.339850002884624
americanthat,196,1,0,0,americanthat,americanthat,americanth,NNP,0.3522138890491458,3.169925001442312
amid,197,1,0,0,amid,amid,amid,IN,0.3522138890491458,3.169925001442312
ammonia,198,1,0,0,ammonia,ammonia,ammon,NN,0.3522138890491458,3.169925001442312
among,199,21,0,0,among,among,among,IN,0.1510444457264999,1.359400011538499
amorphous,200,1,0,0,amorph,amorph,amorph,JJ,0.3522138890491458,3.169925001442312
amount,201,4,0,0,amount,amount,amount,NN,0.5283208335737186,4.754887502163468
amour,202,1,0,0,amour,amour,amo,NN,0.3522138890491458,3.169925001442312
amputated,203,1,0,0,amput,amput,amput,JJ,0.3522138890491458,3.169925001442312
amused,204,2,0,0,amus,amus,amus,VBN,0.48220555587606934,4.339850002884624
amusement,205,1,0,0,amus,amus,amus,NN,0.3522138890491458,3.169925001442312
an,206,186,0,1,an,an,an,DT,0.0,0.0
anaemic,207,1,0,0,anaem,anaem,anaem,JJ,0.3522138890491458,3.169925001442312
ancestors,208,1,0,0,ancestor,ancestor,ancest,NNS,0.3522138890491458,3.169925001442312
ancestral,209,1,0,0,ancestr,ancestr,ancest,JJ,0.3522138890491458,3.169925001442312
anchor,210,2,0,0,anchor,anchor,anch,NN,0.3522138890491458,3.169925001442312
anchored,211,1,0,0,anchor,anchor,anch,VBN,0.3522138890491458,3.169925001442312
and,212,1529,0,1,and,and,and,CC,0.0,0.0
andeats,213,1,0,0,andeat,andeat,and,NNS,0.3522138890491458,3.169925001442312
andhere,214,1,0,0,andher,andher,andh,RB,0.3522138890491458,3.169925001442312
angle,215,1,0,0,angl,angl,angl,NN,0.3522138890491458,3.169925001442312
angry,216,4,0,0,angri,angri,angry,JJ,0.5199666673076944,4.6797000057692495
announced,217,4,0,0,announc,announc,annount,VBD,0.5199666673076944,4.6797000057692495
annoy,218,1,0,0,annoy,annoy,annoy,NN,0.3522138890491458,3.169925001442312
annoyance,219,1,0,0,annoy,annoy,annoy,NN,0.3522138890491458,3.169925001442312
annoyed,220,3,0,0,annoy,annoy,annoy,IN,0.5283208335737186,4.754887502163468
anon,221,1,0,0,anon,anon,anon,VB,0.3522138890491458,3.169925001442312
another,222,36,0,0,anoth,anoth,anoth,DT,0.0,0.0
answer,223,9,0,0,answer,answer,answ,NN,0.3899750004807708,3.5097750043269373
answered,224,17,0,0,answer,answer,answ,VBD,0.0,0.0
answering,225,2,0,0,answer,answer,answ,VBG,0.48220555587606934,4.339850002884624
antecedents,226,1,0,0,anteced,anteced,antec,NNS,0.3522138890491458,3.169925001442312
anteroom,227,1,0,0,anteroom,anteroom,anteroom,NN,0.3522138890491458,3.169925001442312
anticipation,228,1,0,0,anticip,anticip,anticip,NN,0.3522138890491458,3.169925001442312
anticlimax,229,1,0,0,anticlimax,anticlimax,anticlimax,NN,0.3522138890491458,3.169925001442312
antly,230,1,0,0,antli,ant,ant,RB,0.3522138890491458,3.169925001442312
antoinette,231,1,0,0,antoinett,antoinett,antoinet,NNP,0.3522138890491458,3.169925001442312
anxiously,232,4,0,0,anxious,anxious,anxy,RB,0.5283208335737186,4.754887502163468
any,233,67,0,1,ani,ani,any,DT,0.0,0.0
anybody,234,7,0,0,anybodi,anybodi,anybody,NN,0.5283208335737186,4.754887502163468
anyhow,235,12,0,0,anyhow,anyhow,anyhow,RB,0.4711093925305277,4.23998453277475
anyhowdaisy,236,1,0,0,anyhowdaisi,anyhowdaisi,anyhowdaisy,NNP,0.3522138890491458,3.169925001442312
anyone,237,10,0,0,anyon,anyon,anyon,NN,0.4711093925305277,4.23998453277475
anything,238,27,0,0,anyth,anyth,anyth,NN,0.1510444457264999,1.359400011538499
anyways,239,1,0,0,anyway,anyway,anyway,NNP,0.3522138890491458,3.169925001442312
anywhere,240,3,0,0,anywher,anywher,anywh,RB,0.5283208335737186,4.754887502163468
aof,241,1,0,0,aof,aof,aof,NN,0.3522138890491458,3.169925001442312
apart,242,4,0,0,apart,apart,apart,RB,0.5199666673076944,4.6797000057692495
apartment,243,6,0,0,apart,apart,apart,NN,0.48220555587606934,4.339850002884624
apartmenthouses,244,1,0,0,apartmenthous,apartmenthous,apartmenth,NNS,0.3522138890491458,3.169925001442312
apartments,245,3,0,0,apart,apart,apart,NNS,0.5283208335737186,4.754887502163468
apathetically,246,1,0,0,apathet,apathet,apathet,RB,0.3522138890491458,3.169925001442312
apologetically,247,1,0,0,apologet,apologet,apologet,RB,0.3522138890491458,3.169925001442312
apologize,248,1,0,0,apolog,apolog,apolog,VB,0.3522138890491458,3.169925001442312
apology,249,2,0,0,apolog,apolog,apolog,NN,0.3522138890491458,3.169925001442312
appalled,250,1,0,0,appal,appal,appal,VBN,0.3522138890491458,3.169925001442312
appalling,251,1,0,0,appal,appal,appal,JJ,0.3522138890491458,3.169925001442312
apparently,252,6,0,0,appar,appar,app,RB,0.4711093925305277,4.23998453277475
apparition,253,1,0,0,apparit,apparit,apparit,NN,0.3522138890491458,3.169925001442312
appeal,254,1,0,0,appeal,appeal,ap,NN,0.3522138890491458,3.169925001442312
appearance,255,2,0,0,appear,appear,appear,NN,0.48220555587606934,4.339850002884624
appeared,256,6,0,0,appear,appear,appear,VBD,0.4711093925305277,4.23998453277475
appears,257,1,0,0,appear,appear,appear,VBZ,0.3522138890491458,3.169925001442312
appended,258,1,0,0,append,append,append,VBD,0.3522138890491458,3.169925001442312
appendicitis,259,1,0,0,append,append,appendicit,NN,0.3522138890491458,3.169925001442312
applegreen,260,1,0,0,applegreen,applegreen,applegreen,JJ,0.3522138890491458,3.169925001442312
appreciated,261,1,0,0,appreci,appreci,apprecy,VBN,0.3522138890491458,3.169925001442312
approached,262,3,0,0,approach,approach,approach,VBD,0.48220555587606934,4.339850002884624
appropriate,263,2,0,0,appropri,appropri,appropry,JJ,0.48220555587606934,4.339850002884624
approved,264,1,0,0,approv,approv,approv,VBD,0.3522138890491458,3.169925001442312
approving,265,1,0,0,approv,approv,approv,VBG,0.3522138890491458,3.169925001442312
april,266,1,0,0,april,april,april,NNP,0.3522138890491458,3.169925001442312
aquaplanes,267,1,0,0,aquaplan,aquaplan,aquapl,NNS,0.3522138890491458,3.169925001442312
araby,268,1,0,0,arabi,arabi,araby,NNP,0.3522138890491458,3.169925001442312
arc,269,1,0,0,arc,arc,arc,NN,0.3522138890491458,3.169925001442312
arched,270,1,0,0,arch,arch,arch,JJ,0.3522138890491458,3.169925001442312
archway,271,1,0,0,archway,archway,archway,RB,0.3522138890491458,3.169925001442312
ardita,272,1,0,0,ardita,ardita,ardit,NNP,0.3522138890491458,3.169925001442312
are,273,46,0,1,are,are,ar,VBP,0.1510444457264999,1.359400011538499
area,274,1,0,0,area,area,are,NN,0.3522138890491458,3.169925001442312
aren,275,4,0,1,aren,aren,ar,JJ,0.5283208335737186,4.754887502163468
argonne,276,2,0,0,argonn,argonn,argon,NNP,0.48220555587606934,4.339850002884624
argue,277,1,0,0,argu,argu,argu,NN,0.3522138890491458,3.169925001442312
argued,278,1,0,0,argu,argu,argu,VBD,0.3522138890491458,3.169925001442312
argument,279,3,0,0,argument,argument,argu,NN,0.5283208335737186,4.754887502163468
arguments,280,1,0,0,argument,argument,argu,NNS,0.3522138890491458,3.169925001442312
arm,281,15,0,0,arm,arm,arm,NN,0.1510444457264999,1.359400011538499
armistice,282,3,0,0,armistic,armistic,arm,NN,0.5283208335737186,4.754887502163468
arms,283,12,0,0,arm,arm,arm,NNS,0.28199895063255076,2.5379905556929585
armsbut,284,1,0,0,armsbut,armsbut,armsbut,NN,0.3522138890491458,3.169925001442312
army,285,5,0,0,armi,armi,army,NN,0.4711093925305277,4.23998453277475
arose,286,1,0,0,aros,aros,aros,NN,0.3522138890491458,3.169925001442312
around,287,70,0,0,around,around,around,IN,0.0,0.0
arrange,288,3,0,0,arrang,arrang,arrang,VB,0.5283208335737186,4.754887502163468
arrangement,289,2,0,0,arrang,arrang,arrang,NN,0.48220555587606934,4.339850002884624
arrangements,290,1,0,0,arrang,arrang,arrang,NNS,0.3522138890491458,3.169925001442312
arrest,291,1,0,0,arrest,arrest,arrest,VB,0.3522138890491458,3.169925001442312
arrival,292,1,0,0,arriv,arriv,ar,NN,0.3522138890491458,3.169925001442312
arrivals,293,2,0,0,arriv,arriv,ar,NNS,0.48220555587606934,4.339850002884624
arrive,294,2,0,0,arriv,arriv,ar,VB,0.48220555587606934,4.339850002884624
arrived,295,16,0,0,arriv,arriv,ar,VBD,0.28199895063255076,2.5379905556929585
arrogant,296,2,0,0,arrog,arrog,arrog,JJ,0.48220555587606934,4.339850002884624
art,297,1,0,0,art,art,art,NN,0.3522138890491458,3.169925001442312
arthur,298,1,0,0,arthur,arthur,arth,NNP,0.3522138890491458,3.169925001442312
articles,299,1,0,0,articl,articl,artic,NNS,0.3522138890491458,3.169925001442312
artificial,300,3,0,0,artifici,artifici,art,JJ,0.5283208335737186,4.754887502163468
artistic,301,1,0,0,artist,artist,art,JJ,0.3522138890491458,3.169925001442312
as,302,267,0,1,as,as,as,IN,0.0,0.0
asa,303,1,0,0,asa,asa,as,NN,0.3522138890491458,3.169925001442312
ascertain,304,1,0,0,ascertain,ascertain,ascertain,VB,0.3522138890491458,3.169925001442312
ascertained,305,1,0,0,ascertain,ascertain,ascertain,VBN,0.3522138890491458,3.169925001442312
ashamed,306,1,0,0,asham,asham,asham,VBD,0.3522138890491458,3.169925001442312
ashen,307,2,0,0,ashen,ashen,ash,NN,0.48220555587606934,4.339850002884624
ashes,308,5,0,0,ash,ash,ash,NNS,0.48220555587606934,4.339850002884624
ashesa,309,1,0,0,ashesa,ashesa,ashes,JJ,0.3522138890491458,3.169925001442312
asheville,310,1,0,0,ashevil,ashevill,ashevil,NNP,0.3522138890491458,3.169925001442312
ashgrey,311,2,0,0,ashgrey,ashgrey,ashgrey,JJ,0.3522138890491458,3.169925001442312
ashheaps,312,5,0,0,ashheap,ashheap,ashheap,NNS,0.5283208335737186,4.754887502163468
ashtrays,313,1,0,0,ashtray,ashtray,ashtray,NNS,0.3522138890491458,3.169925001442312
aside,314,4,0,0,asid,asid,asid,RB,0.5199666673076944,4.6797000057692495
ask,315,15,0,0,ask,ask,ask,VB,0.0,0.0
asked,316,43,0,0,ask,ask,ask,VBD,0.0,0.0
asking,317,1,0,0,ask,ask,ask,VBG,0.3522138890491458,3.169925001442312
asleep,318,10,0,0,asleep,asleep,asleep,RB,0.3899750004807708,3.5097750043269373
asleepshe,319,1,0,0,asleepsh,asleepsh,asleepsh,NN,0.3522138890491458,3.169925001442312
aspect,320,1,0,0,aspect,aspect,aspect,NN,0.3522138890491458,3.169925001442312
aspired,321,1,0,0,aspir,aspir,aspir,VBN,0.3522138890491458,3.169925001442312
asserted,322,3,0,0,assert,assert,assert,VBD,0.48220555587606934,4.339850002884624
assertions,323,1,0,0,assert,assert,assert,NNS,0.3522138890491458,3.169925001442312
associated,324,2,0,0,associ,associ,assocy,NNP,0.48220555587606934,4.339850002884624
association,325,1,0,0,associ,associ,assocy,NN,0.3522138890491458,3.169925001442312
assumed,326,4,0,0,assum,assum,assum,VBD,0.5283208335737186,4.754887502163468
assumption,327,1,0,0,assumpt,assumpt,assum,NN,0.3522138890491458,3.169925001442312
